"HBID","dti_dtitk_jhulabel_ad_mcp","dti_dtitk_jhulabel_ad_pct","dti_dtitk_jhulabel_ad_gcc","dti_dtitk_jhulabel_ad_bcc","dti_dtitk_jhulabel_ad_scc","dti_dtitk_jhulabel_ad_fnx","dti_dtitk_jhulabel_ad_cst_r","dti_dtitk_jhulabel_ad_cst_l","dti_dtitk_jhulabel_ad_mel_l","dti_dtitk_jhulabel_ad_mel_r","dti_dtitk_jhulabel_ad_icp_r","dti_dtitk_jhulabel_ad_icp_l","dti_dtitk_jhulabel_ad_scp_r","dti_dtitk_jhulabel_ad_scp_l","dti_dtitk_jhulabel_ad_cp_r","dti_dtitk_jhulabel_ad_cp_l","dti_dtitk_jhulabel_ad_alic_r","dti_dtitk_jhulabel_ad_alic_l","dti_dtitk_jhulabel_ad_plic_r","dti_dtitk_jhulabel_ad_plic_l","dti_dtitk_jhulabel_ad_rlic_r","dti_dtitk_jhulabel_ad_rlic_l","dti_dtitk_jhulabel_ad_acr_r","dti_dtitk_jhulabel_ad_acr_l","dti_dtitk_jhulabel_ad_scr_r","dti_dtitk_jhulabel_ad_scr_l","dti_dtitk_jhulabel_ad_pcr_r","dti_dtitk_jhulabel_ad_pcr_l","dti_dtitk_jhulabel_ad_ptr_r","dti_dtitk_jhulabel_ad_ptr_l","dti_dtitk_jhulabel_ad_ss_r","dti_dtitk_jhulabel_ad_ss_l","dti_dtitk_jhulabel_ad_ec_r","dti_dtitk_jhulabel_ad_ec_l","dti_dtitk_jhulabel_ad_cgc_r","dti_dtitk_jhulabel_ad_cgc_l","dti_dtitk_jhulabel_ad_cgh_r","dti_dtitk_jhulabel_ad_cgh_l","dti_dtitk_jhulabel_ad_fnx_st_r","dti_dtitk_jhulabel_ad_fnx_st_l","dti_dtitk_jhulabel_ad_slf_r","dti_dtitk_jhulabel_ad_slf_l","dti_dtitk_jhulabel_ad_sfo_r","dti_dtitk_jhulabel_ad_sfo_l","dti_dtitk_jhulabel_ad_uf_r","dti_dtitk_jhulabel_ad_uf_l","dti_dtitk_jhulabel_ad_tap_r","dti_dtitk_jhulabel_ad_tap_l"
3951779362,1.00654,0.79708,1.38223,1.44198,1.40244,1.59764,0.8624,0.92247,1.04904,1.07063,1.03326,1.08631,1.41971,1.48908,1.20288,1.15446,1.06612,1.05327,1.15051,1.11721,1.07759,1.14189,1.16258,1.0795,1.06185,1.01153,1.0978,1.06698,1.18106,1.22379,1.18311,1.2269,1.03024,1.02146,1.01081,1.04643,0.93322,0.98363,1.19301,1.18568,0.99274,1.00187,1.00803,0.9971,1.16908,1.06813,1.77819,1.84245
1445822964,0.94813,0.89156,1.37372,1.47998,1.42787,1.7467,0.8941,0.88777,0.98963,1.02281,1.0523,1.07932,1.47574,1.42871,1.254,1.25933,1.09111,1.06021,1.20659,1.18746,1.13718,1.21302,1.12044,1.10978,1.1118,1.11525,1.15996,1.14703,1.20019,1.25128,1.16169,1.18136,1.07788,1.07856,1.07067,1.09992,1.03704,1.06657,1.24031,1.21827,0.99904,1.00401,1.10298,1.12453,1.14974,1.11519,1.49135,1.72685
2616503795,0.93946,0.81746,1.3524,1.41065,1.36421,1.61576,0.85742,0.90506,0.94302,1.02874,0.95562,1.0345,1.32255,1.44484,1.13831,1.15097,1.04549,1.00336,1.12402,1.12969,1.06285,1.14359,1.04316,1.0324,1.01069,1.01304,1.09064,1.1059,1.13897,1.21733,1.05008,1.16476,0.99907,0.99075,0.97068,1.01246,0.9634,1.04326,1.20756,1.17214,0.9632,0.96085,0.99742,0.97018,1.08227,0.98187,1.58,1.67321
1497791373,0.89441,0.74123,1.3421,1.34616,1.40026,1.78328,0.82978,0.83281,0.86751,0.8843,0.99379,0.99135,1.20228,1.21444,1.15104,1.15864,1.07221,1.06522,1.13805,1.14417,1.13585,1.18,1.08516,1.07312,1.00532,0.98858,1.07677,1.08199,1.13971,1.28052,1.16549,1.21631,1.03234,1.03827,0.98234,0.98198,1.01598,0.97502,1.19358,1.0871,0.97726,0.9743,0.96808,0.97065,1.09646,1.03375,1.80362,1.87402
809696316,0.97141,0.92886,1.28417,1.33134,1.3281,1.66092,0.89244,0.90888,0.94971,0.9942,0.98026,1.02613,1.33899,1.35931,1.1448,1.15306,1.03256,1.0194,1.08056,1.10381,1.06083,1.14991,0.99967,1.01019,0.95446,0.97796,1.00802,1.01389,1.15851,1.17168,1.13211,1.17464,1.0298,1.01255,1.03848,1.07899,1.00621,1.05058,1.26433,1.2005,0.95299,0.94826,0.98618,0.95841,1.04986,1.05317,1.52688,1.48566
2529281397,0.97489,0.85565,1.43351,1.44945,1.42513,1.72389,0.88253,0.86169,1.04123,0.99251,0.99392,1.08302,1.38896,1.42129,1.23408,1.25444,1.08513,1.09486,1.14359,1.15147,1.10005,1.18801,1.11099,1.09943,1.02861,1.00959,1.06914,1.06386,1.19317,1.27507,1.13463,1.22124,1.06188,1.04798,1.03672,1.0659,0.90538,1.04406,1.16922,1.08828,1.00664,1.02014,1.01315,1.04705,1.09493,1.04341,1.54597,1.67615
151035426,0.99668,0.86485,1.26503,1.39188,1.30492,1.80172,0.93475,0.97444,0.94847,0.994,1.03948,1.06127,1.44401,1.56445,1.20546,1.23931,1.06879,1.06116,1.16415,1.15106,1.09369,1.13741,1.01511,1.06493,1.00812,1.00784,1.02319,1.01236,1.12568,1.1779,1.1314,1.1411,1.01988,1.00937,1.01516,1.02514,1.02405,1.04532,1.26518,1.15274,0.9369,0.93462,1.06531,1.00098,1.0591,1.05909,1.45871,1.54701
1094642261,0.91139,0.78968,1.33534,1.36525,1.27079,1.77909,0.8621,0.82278,1.01002,1.00265,0.75532,0.81468,1.32956,1.4101,1.16879,1.19934,1.11115,1.13051,1.16896,1.18318,1.06714,1.15107,1.0876,1.03572,1.02699,1.02669,1.00306,1.05137,1.04361,1.19344,1.09697,1.13534,1.03676,1.0124,1.02626,1.08746,0.96285,0.99766,1.19649,1.14395,0.98892,0.99968,1.0473,1.07773,1.17026,1.11382,1.34695,1.53222
495104354,0.87216,0.73258,1.31458,1.39926,1.35625,1.71547,0.86919,0.88625,0.86153,0.93662,0.89998,0.92534,1.26678,1.29504,1.21058,1.18082,1.10196,1.09208,1.1751,1.17818,1.18577,1.20308,1.1146,1.12308,1.07356,1.07468,1.16163,1.16155,1.20485,1.2489,1.15696,1.1916,1.07711,1.06257,1.01945,1.04627,1.04651,1.05157,1.24313,1.18393,1.01274,1.02211,1.0512,1.05388,1.1125,1.04221,1.67319,1.76878
886281217,0.90759,0.76411,1.41645,1.4411,1.43673,1.73725,0.88152,0.83287,0.93103,0.93989,1.01482,1.047,1.36403,1.41916,1.19881,1.15053,1.10059,1.0802,1.16861,1.16217,1.11841,1.20035,1.10008,1.07919,1.01151,1.02514,1.04077,1.09878,1.20955,1.2943,1.21502,1.23114,1.06192,1.03621,1.0543,1.09723,0.97628,0.99651,1.24106,1.14898,1.0051,1.0225,1.04299,1.02996,1.13919,1.07471,1.78904,1.83233
