"HBID","dti_dtitk_jhutract_tr_atr_l","dti_dtitk_jhutract_tr_atr_r","dti_dtitk_jhutract_tr_cst_l","dti_dtitk_jhutract_tr_cst_r","dti_dtitk_jhutract_tr_cgc_l","dti_dtitk_jhutract_tr_cgc_r","dti_dtitk_jhutract_tr_cgh_l","dti_dtitk_jhutract_tr_cgh_r","dti_dtitk_jhutract_tr_forceps_mjor","dti_dtitk_jhutract_tr_forceps_minor","dti_dtitk_jhutract_tr_ifo_l","dti_dtitk_jhutract_tr_ifo_r","dti_dtitk_jhutract_tr_ilf_l","dti_dtitk_jhutract_tr_ilf_r","dti_dtitk_jhutract_tr_slf_l","dti_dtitk_jhutract_tr_slf_r","dti_dtitk_jhutract_tr_uf_l","dti_dtitk_jhutract_tr_uf_r"
3951779362,2.11716,2.29455,2.02727,2.04545,2.09006,2.10605,2.27924,1.99934,2.2721,2.30052,2.22525,2.19925,2.17142,2.10771,2.1648,2.15666,2.20619,2.41167
1445822964,2.20976,2.35425,2.0814,2.10133,2.20269,2.22033,2.39479,2.28029,2.40685,2.34517,2.3156,2.29274,2.29158,2.21671,2.28572,2.21961,2.45057,2.44104
2616503795,2.07601,2.14811,2.02079,2.03345,2.02902,2.06062,2.10316,1.98366,2.54003,2.22981,2.1784,2.11057,2.12402,2.01936,2.12567,2.07171,2.17251,2.20745
1497791373,2.07644,2.18021,1.97526,1.97888,1.97918,2.0201,2.14839,2.09778,2.44057,2.2146,2.1984,2.14993,2.12267,2.1517,2.12271,2.05817,2.26862,2.32102
809696316,2.08024,2.10113,1.97051,1.93379,2.03087,2.079,2.15961,2.10353,2.3252,2.15235,2.1266,2.1086,2.07706,2.04957,2.05071,1.98993,2.20973,2.27071
2529281397,2.2026,2.19324,1.99704,2.0327,2.15573,2.1026,2.31089,2.02968,2.51841,2.30608,2.25122,2.22253,2.25632,2.1389,2.15394,2.03453,2.4588,2.42862
151035426,2.12523,2.18725,2.03136,2.02774,2.05727,2.10037,2.4195,2.25701,2.31518,2.19534,2.13393,2.17657,2.11549,2.08413,2.14074,2.05923,2.35545,2.33261
1094642261,2.14472,2.21629,1.95918,2.01599,2.11742,2.12021,2.0342,1.89925,2.09042,2.18553,2.09275,2.10148,2.10812,1.97427,2.14652,2.11944,2.17735,2.34508
495104354,2.15533,2.2344,2.0177,2.02781,2.20257,2.19,2.29745,2.24618,2.25042,2.33026,2.30169,2.28239,2.27403,2.29139,2.21522,2.15606,2.28599,2.47691
886281217,2.16071,2.24014,1.99311,2.01087,2.12693,2.12276,2.19954,2.05277,2.41629,2.33985,2.24523,2.26172,2.1707,2.18681,2.22913,2.13815,2.30181,2.31026
