"HBID","dtiAcquired","dtiSeries35Acquired","dtiSeries35MatchedXnat","dtiSeries35TrXnat","dtiSeries35nVolumesXnat","dtiSeries35InterSliceSpacingXnat","dtiSeries35ProtocolValidationStatus","dtiSeries36Acquired","dtiSeries36MatchedXnat","dtiSeries36nVolumesXnat","dtiSeries36TrXnat","dtiSeries36InterSliceSpacingXnat","dtiSeries64MB2AcquiredXnat","dtiSeries64MB2TrXnat","dtiSeries64MB2nVolumesXnat","dtiSeries36ProtocolValidationStatus","dti64ProtocolValidationStatus","dti64Clipcount","dti64Tsnr","dti64Gmean","dti64Drift","dti64Outmax","dti64Outmean","dti64Outcount","dti64MeanAbsRMS","dti64MeanRelRMS","dti64MaxAbsRMS","dti64MaxRelRMS","dti32Clipcount","dti32Tsnr","dti32Gmean","dti32Drift","dti32Outmax","dti32Outmean","dti32Outcount","dti32MeanAbsRMS","dti32MeanRelRMS","dti32MaxAbsRMS","dti32MaxRelRMS","dti64ProtocolValidationStatusExclude","dti32ProtocolValidationStatusExclude","dti32QAManualScore","dti64QAManualScore","dti64Bedpost","dti64QAManualScoreExclude","dti32QAManualScoreExclude","dti64Exclude","dti32Exclude"
3951779362,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,6.99762,148.008281,0.00577077,5592,728.953,9,1.42807,0.383785,2.09308,0.927742,0,7.19998,148.20716,0.00660889,3166,1016.81,8,0.751621,0.669736,1.32712,0.927742,0,0,1,1,1,0,0,0,0
1445822964,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.274983,154.407359,0.000405694,648,243.547,0,1.03057,0.398904,1.77074,0.634785,0,7.582913,154.935763,0.010299,1393,657.5,3,0.33931,0.321203,0.615015,0.402917,0,0,2,2,0,0,0,0,0
2616503795,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.205817,150.095122,0.0123739,2756,426.469,5,0.334208,0.197893,0.480879,0.353037,0,7.293577,149.043065,0.00311261,3240,1041.34,8,0.229813,0.262002,0.424738,0.264699,0,0,1,1,1,0,0,0,0
1497791373,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,19,5.252274,154.261465,-0.00244217,13583,2180.14,35,1.5299,1.35847,2.94717,2.76615,15,6.757632,155.334182,0.0214814,6387,1411.38,12,0.454614,0.505019,0.880743,0.526939,0,0,0,0,0,1,1,1,1
809696316,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.418712,141.714992,0.0130592,563,217.297,0,0.616928,0.189295,0.905542,0.319901,0,7.650818,141.744156,0.0307615,875,520.406,0,0.291998,0.290758,0.56732,0.308674,0,0,2,2,1,0,0,0,0
2529281397,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,4,7.563757,177.639707,0.00985056,510,257.203,0,0.413176,0.189394,0.834059,0.263417,4,7.756411,177.808922,0.00281487,947,671.969,0,0.184373,0.219029,0.358739,0.243679,0,0,2,2,1,0,0,0,0
151035426,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,6.210781,138.891949,-0.00976243,3696,505.672,8,1.03816,0.621823,2.06145,1.48915,0,6.408739,139.634502,0.0041367,4011,842.156,6,0.426524,0.594538,0.796137,0.705643,0,0,0,0,1,1,1,1,1
1094642261,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.535742,195.575332,0.023743,1022,355.797,1,0.46284,0.239668,0.666147,0.530185,0,7.745333,195.401922,0.0214715,3176,1039.91,8,0.362962,0.300564,0.5587,0.530185,0,0,2,2,1,0,0,0,0
495104354,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,6.304705,175.109904,-0.0383119,16241,1067.73,9,1.58524,1.73452,2.88923,4.57753,0,7.798246,177.198016,-0.00633441,2053,605.219,1,0.613136,0.675978,1.01687,1.01687,0,0,2,1,0,0,0,0,0
886281217,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.427145,149.664089,0.00389105,999,312.625,0,0.357536,0.226552,0.710439,0.285967,0,7.663427,149.796997,-0.00328874,1747,784.188,4,0.197335,0.243929,0.337634,0.254372,0,0,2,2,1,0,0,0,0
1186286400,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.309933,150.817666,0.0100996,3923,511.828,8,1.3041,0.374982,1.79878,0.831099,0,7.39228,150.591614,-0.00114544,1610,670.969,5,0.713399,0.761885,1.45489,0.838462,0,0,2,2,1,0,0,0,0
64650339,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,3,7.042107,140.491476,0.0125808,592,281.219,0,0.60661,0.273647,0.963702,0.550021,2,7.33127,140.537902,0.0101405,1064,665.406,1,0.390494,0.349722,0.621462,0.550021,0,0,2,2,1,0,0,0,0
1756317320,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,7,7.761538,179.791092,0.00375845,408,262.203,0,0.333357,0.174153,0.630017,0.272386,4,8.020112,180.067417,0.0107241,1212,720.375,2,0.133156,0.173429,0.205227,0.205227,0,0,2,2,0,0,0,0,0
1557931441,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.644883,147.277271,0.00637726,526,256.297,0,0.268572,0.229511,0.49981,0.317898,0,7.865708,146.469508,-0.000733675,1047,651.875,2,0.154017,0.240796,0.298929,0.318469,0,0,2,2,1,0,0,0,0
2935809726,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,2,7.075043,165.243677,0.0165063,3126,468.656,7,0.376161,0.356844,0.645857,0.740534,2,7.089826,164.929151,0.0332849,3412,995.812,8,0.41506,0.668497,0.649388,0.741202,0,0,1,1,0,0,0,0,0
1852674447,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.299826,164.415659,0.0159921,1645,395.125,2,0.531246,0.208078,0.754717,0.35456,0,7.485546,164.084758,0.000905951,1831,954.594,9,0.267734,0.304059,0.551594,0.356512,0,0,2,2,1,0,0,0,0
1385105483,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.437218,144.750291,0.00796113,1366,315.188,1,0.312275,0.160733,0.543102,0.243564,0,7.673046,144.915139,0.0029074,1995,748,3,0.152523,0.165287,0.243564,0.243564,0,0,2,2,1,0,0,0,0
3072223930,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.625696,172.489353,0.0181052,1097,305.5,1,0.657648,0.235884,1.04842,0.377467,0,7.847927,172.421962,0.0374296,1284,725,4,0.317548,0.32952,0.575179,0.377467,0,0,2,2,1,0,0,0,0
2034020724,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,6.054902,143.78048,0.0358685,3987,790.812,18,1.40495,1.40431,2.13915,3.43682,0,6.341637,144.015553,-0.00809333,5488,1810.38,13,1.17793,0.944625,1.82131,1.71249,0,0,1,1,0,0,0,0,0
1602234257,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.68708,168.75336,0.00571365,1472,326.203,2,0.268985,0.194566,0.524545,0.256391,0,8.050495,168.830912,0.00390186,1887,744.531,3,0.124897,0.18936,0.191875,0.195903,0,0,1,1,0,0,0,0,0
995687125,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,6,6.450394,159.967944,-0.0211027,1709,459.766,6,1.2433,0.416966,2.23479,0.841878,4,6.999084,162.010606,-0.00461191,1802,853.375,11,0.338338,0.335904,0.646971,0.368044,0,0,2,2,1,0,0,0,0
4229389759,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,2,7.560131,178.935491,0.0185068,3495,325.062,2,0.450364,0.368051,0.780451,0.680731,0,7.786164,178.892705,0.00864444,1437,610.031,1,0.265048,0.339403,0.416758,0.378385,0,0,2,1,1,0,0,0,0
1886825078,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,6.830414,144.892998,-0.00244239,1442,396.438,5,0.697923,0.631253,1.07388,1.15449,0,7.430802,145.77771,-0.00717763,6693,1170.12,9,0.704028,0.62876,1.07388,1.07388,0,0,1,1,0,0,0,0,0
490151209,1,1,1,8100,35,1.999999945,1,1,1,36,8100,1.999999945,0,,,1,1,6,7.804579,188.508209,0.0111053,909,306.094,0,0.330423,0.222247,0.419283,0.346971,4,8.09415,188.524129,-0.0109808,1651,795.281,7,0.246481,0.297573,0.392473,0.346971,0,0,2,2,0,0,0,0,0
3091067187,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.784631,160.812965,0.0122118,359,205.828,0,0.162409,0.0967606,0.429102,0.259678,0,7.998441,160.870835,0.0177131,1033,593.219,1,0.0561801,0.0628891,0.0851593,0.0851593,0,0,2,2,1,0,0,0,0
1693438843,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,8,7.567987,165.528675,0.0168766,606,312.484,0,0.285991,0.119554,0.479326,0.237696,7,7.824417,164.472464,0.00830293,1321,811.156,5,0.085463,0.090727,0.145505,0.110884,0,0,2,2,1,0,0,0,0
127877677,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.789019,165.450669,-6.25e-05,511,263.844,0,0.169154,0.128935,0.247747,0.170717,0,7.983763,165.476747,-0.018165,1107,692.625,1,0.0989096,0.122097,0.187671,0.135135,0,0,1,1,0,0,0,0,0
4021315118,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.759629,147.562851,0.00101837,573,248.812,0,0.292042,0.148882,0.441395,0.21703,0,8.009788,147.714162,-0.00510431,1013,668.594,1,0.147772,0.147014,0.239154,0.204162,0,0,2,2,1,0,0,0,0
3807569399,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,5,7.146921,160.64883,0.0323546,1128,348.641,1,0.923214,0.313853,1.67298,0.619262,5,7.533248,160.344306,0.0142079,1704,825.375,5,0.42326,0.35838,0.650518,0.619262,0,0,2,2,1,0,0,0,0
1764595898,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,5.230264,115.579053,0.0446051,16184,1123.47,12,1.17201,1.15452,2.26892,2.29651,0,5.43725,113.705111,0.0523359,18428,1769.16,10,1.43375,1.35707,2.27449,2.02676,0,0,0,0,1,1,1,1,1
567224934,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,1,7.343474,145.745988,-0.000231151,630,308.594,0,0.351665,0.154478,0.557358,0.272518,1,7.560962,145.944399,0.00428186,1202,777.438,4,0.180296,0.183139,0.272518,0.272518,0,0,2,2,1,0,0,0,0
3552268730,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.420425,171.20142,0.0255933,762,287.562,0,0.700985,0.277425,1.03972,0.440015,0,7.81234,170.825443,0.0249522,1161,718.719,2,0.299983,0.310081,0.556406,0.343543,0,0,2,2,1,0,0,0,0
423510458,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.590581,177.164774,0.0103792,837,309.688,0,0.411654,0.148986,0.737073,0.207138,0,7.861136,177.211368,-0.00178434,1197,789.594,5,0.178498,0.192849,0.328357,0.207138,0,0,2,2,1,0,0,0,0
3971741950,0,0,,,,,0,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,1
4209635710,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.169417,150.331149,0.00675474,2070,413.047,7,1.22901,0.572474,1.75053,0.825572,0,7.274212,149.87508,0.0196871,1573,720.406,7,0.7736,0.802579,1.54847,0.832828,0,0,2,2,1,0,0,0,0
3183721577,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,7.364688,163.464345,0.0230865,4435,347.688,2,0.417928,0.271988,0.924667,0.459976,0,7.829427,163.461383,0.0562511,1268,643.781,1,0.155413,0.150751,0.270252,0.195989,0,0,2,1,1,0,0,0,0
1798312651,1,1,1,8100,35,2,1,1,1,36,8100,2,0,,,1,1,0,6.236619,128.13187,0.013467,5908,696.25,12,0.800828,0.675018,1.28884,0.861764,0,6.308226,128.052488,0.0386784,6680,1238.5,12,0.489449,0.834331,0.861764,0.861764,0,0,0,0,1,1,1,1,1
