"HBID","dti_jlf_ad_R_Accumbens_Area","dti_jlf_ad_L_Accumbens_Area","dti_jlf_ad_R_Amygdala","dti_jlf_ad_L_Amygdala","dti_jlf_ad_Brain_Stem","dti_jlf_ad_R_Caudate","dti_jlf_ad_L_Caudate","dti_jlf_ad_R_Cerebellum_Exterior","dti_jlf_ad_L_Cerebellum_Exterior","dti_jlf_ad_R_Hippocampus","dti_jlf_ad_L_Hippocampus","dti_jlf_ad_R_Pallidum","dti_jlf_ad_L_Pallidum","dti_jlf_ad_R_Putamen","dti_jlf_ad_L_Putamen","dti_jlf_ad_R_Thalamus_Proper","dti_jlf_ad_L_Thalamus_Proper","dti_jlf_ad_Cerebellar_Vermal_Lobules_I.V","dti_jlf_ad_Cerebellar_Vermal_Lobules_VI.VII","dti_jlf_ad_Cerebellar_Vermal_Lobules_VIII.X","dti_jlf_ad_R_ACgG","dti_jlf_ad_L_ACgG","dti_jlf_ad_R_AIns","dti_jlf_ad_L_AIns","dti_jlf_ad_R_AOrG","dti_jlf_ad_L_AOrG","dti_jlf_ad_R_AnG","dti_jlf_ad_L_AnG","dti_jlf_ad_R_Calc","dti_jlf_ad_L_Calc","dti_jlf_ad_R_CO","dti_jlf_ad_L_CO","dti_jlf_ad_R_Cun","dti_jlf_ad_L_Cun","dti_jlf_ad_R_Ent","dti_jlf_ad_L_Ent","dti_jlf_ad_R_FO","dti_jlf_ad_L_FO","dti_jlf_ad_R_FRP","dti_jlf_ad_L_FRP","dti_jlf_ad_R_FuG","dti_jlf_ad_L_FuG","dti_jlf_ad_R_GRe","dti_jlf_ad_L_GRe","dti_jlf_ad_R_IOG","dti_jlf_ad_L_IOG","dti_jlf_ad_R_ITG","dti_jlf_ad_L_ITG","dti_jlf_ad_R_LiG","dti_jlf_ad_L_LiG","dti_jlf_ad_R_LOrG","dti_jlf_ad_L_LOrG","dti_jlf_ad_R_MCgG","dti_jlf_ad_L_MCgG","dti_jlf_ad_R_MFC","dti_jlf_ad_L_MFC","dti_jlf_ad_R_MFG","dti_jlf_ad_L_MFG","dti_jlf_ad_R_MOG","dti_jlf_ad_L_MOG","dti_jlf_ad_R_MOrG","dti_jlf_ad_L_MOrG","dti_jlf_ad_R_MPoG","dti_jlf_ad_L_MPoG","dti_jlf_ad_R_MPrG","dti_jlf_ad_L_MPrG","dti_jlf_ad_R_MSFG","dti_jlf_ad_L_MSFG","dti_jlf_ad_R_MTG","dti_jlf_ad_L_MTG","dti_jlf_ad_R_OCP","dti_jlf_ad_L_OCP","dti_jlf_ad_R_OFuG","dti_jlf_ad_L_OFuG","dti_jlf_ad_R_OpIFG","dti_jlf_ad_L_OpIFG","dti_jlf_ad_R_OrIFG","dti_jlf_ad_L_OrIFG","dti_jlf_ad_R_PCgG","dti_jlf_ad_L_PCgG","dti_jlf_ad_R_PCu","dti_jlf_ad_L_PCu","dti_jlf_ad_R_PHG","dti_jlf_ad_L_PHG","dti_jlf_ad_R_PIns","dti_jlf_ad_L_PIns","dti_jlf_ad_R_PO","dti_jlf_ad_L_PO","dti_jlf_ad_R_PoG","dti_jlf_ad_L_PoG","dti_jlf_ad_R_POrG","dti_jlf_ad_L_POrG","dti_jlf_ad_R_PP","dti_jlf_ad_L_PP","dti_jlf_ad_R_PrG","dti_jlf_ad_L_PrG","dti_jlf_ad_R_PT","dti_jlf_ad_L_PT","dti_jlf_ad_R_SCA","dti_jlf_ad_L_SCA","dti_jlf_ad_R_SFG","dti_jlf_ad_L_SFG","dti_jlf_ad_R_SMC","dti_jlf_ad_L_SMC","dti_jlf_ad_R_SMG","dti_jlf_ad_L_SMG","dti_jlf_ad_R_SOG","dti_jlf_ad_L_SOG","dti_jlf_ad_R_SPL","dti_jlf_ad_L_SPL","dti_jlf_ad_R_STG","dti_jlf_ad_L_STG","dti_jlf_ad_R_TMP","dti_jlf_ad_L_TMP","dti_jlf_ad_R_TrIFG","dti_jlf_ad_L_TrIFG","dti_jlf_ad_R_TTG","dti_jlf_ad_L_TTG"
3951779362,0.91636,0.8739,1.01804,0.95856,1.08644,1.16687,0.95841,0.79264,0.83025,1.11779,1.07578,0.76832,0.74032,0.8222,0.81994,1.06078,1.05503,1.28882,1.07254,1.12626,1.05418,1.08776,1.03102,1.015,0.66809,0.65543,0.70296,0.6669,0.93496,0.95804,0.98507,1.00566,1.10784,1.04485,1.06859,1.14932,1.00741,1.04613,0.04507,0.09633,0.93714,0.90763,0.92317,0.98304,0.56712,0.51427,0.7762,0.65891,1.03832,0.97104,0.49821,0.44213,1.01707,1.06407,1.03479,1.05308,0.77689,0.89571,0.6997,0.64048,0.90989,0.8953,1.31786,1.35845,1.21964,1.16975,1.11508,1.17582,0.76492,0.6913,0.41117,0.22205,0.81913,0.80588,0.87014,1.07213,0.713,0.72199,1.03418,1.05156,1.08661,1.12508,1.14057,1.13989,1.01272,1.01354,0.95432,0.98273,0.95751,1.07856,1.04332,1.04267,1.03132,1.06573,1.07894,1.14144,1.08982,1.02651,1.09237,1.07449,1.03217,1.18392,1.24529,1.16372,0.62207,0.72457,0.85288,0.87576,0.85017,0.84944,0.76989,0.76237,0.61137,0.76965,0.64362,0.7302,1.01518,1.02519
1445822964,0.95702,0.95531,1.08766,1.10707,0.98646,1.29657,1.54222,0.74186,0.78307,1.1608,1.14159,0.83251,0.80401,0.85582,0.86553,1.08307,1.09099,1.127,0.91578,0.96734,1.10215,1.08933,1.08868,1.08752,0.77017,0.69378,0.69018,0.75412,1.01704,1.01233,1.11712,1.13346,1.07882,1.07893,0.95263,1.1823,1.09832,1.16743,0.27411,0.39027,0.92004,0.95127,0.75359,0.74567,0.69539,0.67138,0.74672,0.68154,1.10049,1.09767,0.51429,0.50556,1.08531,1.0897,1.0471,1.04691,0.90637,0.92442,0.73222,0.77679,0.76303,0.77143,1.38383,1.24998,1.15136,1.1556,1.13791,1.21123,0.84361,0.82811,0.37194,0.22161,0.914,0.92073,1.04386,1.03456,0.88932,0.70909,1.04815,1.05305,1.04151,1.0786,1.10031,1.15259,1.1518,1.14925,1.14964,1.09317,0.86411,1.01995,1.00589,1.03021,1.20117,1.28724,1.00066,1.10574,1.10067,1.16435,1.02292,1.01647,1.18886,1.26346,1.15309,1.21002,0.58527,0.865,0.71253,0.74329,0.77494,0.7099,0.87259,0.96628,0.55253,0.76031,0.80182,0.80969,1.15362,1.13482
2616503795,0.86027,0.86674,1.00708,0.98839,1.02129,1.02217,1.09961,0.77865,0.78765,1.23643,1.28092,0.76267,0.70235,0.81291,0.80496,0.97667,1.03154,1.20902,1.02354,1.15526,1.00797,1.06829,1.07771,1.06605,0.48626,0.50134,0.66773,0.70735,1.05439,0.94077,1.05688,1.04625,1.10534,1.04102,0.80784,0.98771,1.06744,1.00726,0.01396,0.0762,0.84587,0.87345,0.63045,0.61701,0.54394,0.48105,0.68062,0.6352,1.13337,1.0127,0.29092,0.33571,0.99783,1.02574,1.0221,1.04232,0.77918,0.88385,0.58513,0.61433,0.63044,0.6516,1.52249,1.41167,1.14603,1.12792,1.06405,1.19032,0.80746,0.73952,0.21066,0.11986,0.81607,0.70391,0.9089,1.02711,0.63835,0.71858,1.03397,1.02914,1.08438,1.10085,1.09379,1.20102,1.11904,1.06213,0.98612,1.05714,1.09661,1.13915,0.97358,1.00687,1.0862,1.16109,1.1042,1.19353,1.10413,0.98724,1.10777,1.046,1.03485,1.12927,1.15764,1.14755,0.7779,0.94797,0.6315,0.71244,0.80695,0.78885,0.82429,0.80107,0.46817,0.66316,0.63639,0.74522,1.12436,1.1144
1497791373,0.87118,0.85729,0.9851,0.99738,0.87233,1.17032,1.35613,0.65048,0.67519,1.07391,1.06853,0.83063,0.75719,0.82193,0.82637,1.0083,1.0559,1.20568,1.06123,0.97209,1.06059,1.09224,1.05519,1.08188,0.43883,0.33505,0.48833,0.37617,0.95217,0.93111,0.98165,0.98677,0.88164,0.94575,0.88739,0.99787,1.07181,1.14854,0.00136,0.00901,0.90046,0.89393,0.51593,0.50426,0.31772,0.19747,0.56015,0.47356,1.01274,0.98154,0.25865,0.21618,1.05174,1.02702,0.95409,1.06866,0.69359,0.72254,0.37509,0.23893,0.69452,0.66233,1.32513,1.32126,1.25046,1.18287,1.12623,1.17169,0.66389,0.60578,0.00895,0.01344,0.637,0.55964,0.92983,0.90897,0.66876,0.56155,1.06225,1.00931,0.9598,1.02322,1.09132,1.14124,1.14167,1.09173,0.96929,0.97436,0.77938,0.89245,1.00124,0.99333,1.14643,1.16029,1.01314,1.13225,1.04161,1.02587,0.9431,1.03293,0.99978,1.0562,1.24248,1.2551,0.53456,0.60948,0.35272,0.33075,0.50594,0.43616,0.7266,0.76198,0.44692,0.43522,0.4724,0.4474,1.14393,1.09741
809696316,0.89724,0.89098,1.02636,1.00502,1.0343,1.05122,1.02011,0.80936,0.82088,1.07134,1.09823,0.78073,0.80146,0.81653,0.82236,0.96561,0.97942,1.05154,0.93236,1.01657,0.95195,0.95479,0.98421,0.96985,0.82997,0.87006,0.50614,0.48596,0.89859,0.85498,0.95912,0.92812,0.84765,0.8674,1.10922,1.04949,0.98953,0.98811,0.45337,0.57928,0.88574,0.8464,0.80619,0.78914,0.55238,0.5259,0.66739,0.61875,0.97868,0.9258,0.80235,0.82469,0.91704,0.92374,0.9626,0.92143,0.76972,0.8053,0.5632,0.50499,0.71702,0.74816,0.9655,0.94051,0.99189,0.89945,1.04592,1.07164,0.75071,0.7063,0.11874,0.09706,0.82956,0.73434,0.93251,0.91139,0.92669,0.88958,0.93565,0.91568,0.86417,0.87274,1.09464,1.12283,0.99261,1.0037,0.91604,0.90842,0.73733,0.70672,0.94673,1.01994,1.03054,1.02898,0.8654,0.83166,0.87968,0.84229,1.38053,1.1855,0.91428,0.92329,0.96904,0.95112,0.50498,0.52722,0.45608,0.56965,0.43187,0.49842,0.74483,0.72576,0.83039,0.74993,0.90494,0.87579,1.02153,0.93946
2529281397,0.89948,0.87329,0.97437,0.94472,0.95653,1.04193,1.10788,0.50912,0.65107,1.11776,1.10619,0.83801,0.79688,0.84893,0.83628,0.99225,1.06713,1.06976,0.98548,0.97441,1.00411,1.0538,1.05653,1.01978,0.64545,0.91108,0.44584,0.85721,0.77114,0.74229,0.97299,1.0251,0.87093,0.87402,1.17357,0.91153,1.13783,1.11134,0.74363,1.06831,0.80658,0.83104,0.62177,0.652,0.14706,0.29434,0.3333,0.60134,0.85119,0.86499,0.26091,0.74776,1.00932,0.99629,1.03703,1.09361,0.97289,1.11625,0.22579,0.4349,0.71121,0.83957,1.21728,1.13307,1.13924,1.03635,1.11275,1.17163,0.45533,0.7953,0.00401,0.00908,0.41216,0.5323,0.7485,1.08444,0.51959,1.15309,0.94203,0.97688,1.02955,1.06394,1.13744,1.12246,1.03637,1.00764,0.91927,1.0461,0.92334,1.08219,1.00128,1.04024,1.01844,1.1349,0.98241,1.10664,0.92506,1.00649,1.13993,1.22857,1.34286,1.32189,1.06933,1.07707,0.65705,1.03904,0.41102,0.55459,0.82839,0.92148,0.60773,0.86416,0.62135,0.68335,0.52262,1.10845,1.08874,1.11011
151035426,0.88619,0.89608,1.03448,1.03692,1.12515,1.14625,1.11492,0.90346,0.91061,1.14661,1.16211,0.81821,0.78361,0.84787,0.84088,1.02055,1.02626,1.22117,1.0894,1.07595,1.0699,1.05519,1.06707,1.0918,0.73833,0.69048,0.88926,0.67692,1.05447,1.00433,1.05877,1.12094,1.20394,1.08762,1.25326,1.23142,1.11891,1.20203,0.27957,0.36362,0.96297,1.01087,0.86396,0.81004,0.73021,0.47554,0.72585,0.72946,1.17615,1.15408,0.58645,0.51438,1.11313,1.04251,1.05793,1.0022,1.01195,1.04373,0.96,0.67707,0.78985,0.76333,1.66379,1.40667,1.42423,1.18296,1.31216,1.31315,0.78568,0.75145,0.22245,0.06961,0.97651,0.84648,1.09136,1.09497,0.91391,0.85328,1.05346,1.04796,1.18904,1.25264,1.22332,1.29691,1.07167,1.04688,1.04121,1.03069,1.13586,1.09157,1.0512,1.0548,1.12152,1.13874,1.09684,1.11876,1.18326,1.09006,1.2091,1.10997,1.23455,1.44719,1.39152,1.34141,0.90383,0.90048,0.96419,0.77152,0.9451,0.82647,0.85813,0.86468,0.73771,0.87109,1.05452,0.96558,1.1064,1.14962
1094642261,0.89971,0.9147,0.95306,0.9668,0.7869,1.14546,1.20332,0.42833,0.40853,1.14579,1.09698,0.86783,0.7943,0.84613,0.82924,1.05591,1.08981,1.15505,1.08755,0.67262,1.06128,1.03866,1.10276,1.01155,0.34262,0.26128,0.40469,0.39758,0.80759,0.7056,1.04665,0.94383,0.8482,0.85501,0.70479,1.20398,1.13664,1.01582,0.00328,0.00465,0.8146,0.88476,0.35187,0.30978,0.15896,0.0823,0.36086,0.27128,0.9742,0.93351,0.21935,0.17976,1.0477,0.99775,0.87902,0.97965,0.64571,0.69956,0.24606,0.19797,0.46241,0.38314,1.34594,1.3121,1.28431,1.23219,1.07828,1.14418,0.5605,0.3863,0.002,0.00142,0.46141,0.37731,0.77709,0.74884,0.53823,0.51271,1.01521,0.99719,1.08477,1.07759,1.00148,1.20524,1.12033,1.05661,1.0305,0.95209,1.03888,1.00011,0.84189,0.84852,1.07195,1.13201,1.05862,1.09572,1.01842,0.91413,0.94598,1.25017,1.07341,1.09153,1.23304,1.19676,0.4429,0.46569,0.3597,0.32122,0.70059,0.63541,0.67036,0.57467,0.3624,0.34139,0.40109,0.33241,1.05464,1.14066
495104354,0.92417,0.91023,0.96528,0.94984,0.91096,1.03328,1.06217,0.71608,0.65762,1.13166,1.09973,0.86622,0.80796,0.8565,0.84467,1.00312,1.03573,1.03865,0.92083,0.9354,1.02266,1.02147,1.08805,1.06635,0.55853,0.57185,0.68238,0.66502,0.90885,0.92464,1.07604,1.01094,1.01148,0.98321,0.89746,0.99977,1.14308,1.06398,0.06073,0.11539,0.82426,0.82741,0.82105,0.80056,0.6271,0.59055,0.69971,0.65544,0.97771,0.92793,0.40444,0.36069,0.9774,0.9792,1.02334,1.01647,0.85301,0.86555,0.65568,0.52158,0.69781,0.73559,1.52948,1.1838,1.11141,1.01963,1.12573,1.146,0.75305,0.6924,0.18494,0.10189,0.84797,0.78705,1.09925,0.99462,0.72714,0.63055,0.96292,0.97553,0.96576,0.98532,0.97031,0.98795,1.20316,1.13151,1.02489,0.95023,0.90647,0.82966,0.98642,1.00497,1.05245,1.10634,0.98283,0.9321,1.00129,0.88649,0.99377,1.02102,1.01713,1.07504,1.13463,1.14996,0.64032,0.69197,0.52388,0.4943,0.68786,0.63606,0.77501,0.74535,0.64281,0.65474,0.78311,0.61861,1.14119,1.02731
886281217,0.90429,0.89903,0.98947,0.89314,1.00214,1.06109,1.10642,0.71279,0.74766,1.15418,1.07738,0.89746,0.80927,0.85818,0.83754,1.00456,1.0384,1.18626,1.02579,1.07311,1.09898,1.06377,1.14423,1.05532,0.66341,0.54611,0.63809,0.57173,0.98719,0.99577,1.11184,1.02054,1.0967,1.03795,1.05167,0.99897,1.10572,1.08926,0.20678,0.25665,0.89054,0.89011,0.65804,0.65188,0.61685,0.44316,0.73608,0.7324,1.03619,1.03183,0.36672,0.3196,1.07051,1.02419,1.14091,1.15197,0.94864,0.99747,0.60776,0.42865,0.80731,0.70046,1.51255,1.25732,1.31138,1.10326,1.42416,1.53337,0.77619,0.77001,0.27146,0.17501,0.8329,0.78015,1.17209,1.17627,0.69503,0.75065,1.02188,1.05732,1.17431,1.12777,1.0951,1.10099,1.10133,1.02203,1.00506,0.94436,1.04377,1.17237,0.9687,1.01751,1.13433,1.17265,1.19483,1.25234,1.05002,1.03002,1.14423,1.11068,1.39349,1.37308,1.26662,1.20492,0.64469,0.75078,0.7568,0.58629,0.86017,0.82315,0.75688,0.77698,0.63546,0.81909,0.77998,0.79067,1.14218,1.09549
