"HBID","dti_jlf_tr_R_Accumbens_Area","dti_jlf_tr_L_Accumbens_Area","dti_jlf_tr_R_Amygdala","dti_jlf_tr_L_Amygdala","dti_jlf_tr_Brain_Stem","dti_jlf_tr_R_Caudate","dti_jlf_tr_L_Caudate","dti_jlf_tr_R_Cerebellum_Exterior","dti_jlf_tr_L_Cerebellum_Exterior","dti_jlf_tr_R_Hippocampus","dti_jlf_tr_L_Hippocampus","dti_jlf_tr_R_Pallidum","dti_jlf_tr_L_Pallidum","dti_jlf_tr_R_Putamen","dti_jlf_tr_L_Putamen","dti_jlf_tr_R_Thalamus_Proper","dti_jlf_tr_L_Thalamus_Proper","dti_jlf_tr_Cerebellar_Vermal_Lobules_I.V","dti_jlf_tr_Cerebellar_Vermal_Lobules_VI.VII","dti_jlf_tr_Cerebellar_Vermal_Lobules_VIII.X","dti_jlf_tr_R_ACgG","dti_jlf_tr_L_ACgG","dti_jlf_tr_R_AIns","dti_jlf_tr_L_AIns","dti_jlf_tr_R_AOrG","dti_jlf_tr_L_AOrG","dti_jlf_tr_R_AnG","dti_jlf_tr_L_AnG","dti_jlf_tr_R_Calc","dti_jlf_tr_L_Calc","dti_jlf_tr_R_CO","dti_jlf_tr_L_CO","dti_jlf_tr_R_Cun","dti_jlf_tr_L_Cun","dti_jlf_tr_R_Ent","dti_jlf_tr_L_Ent","dti_jlf_tr_R_FO","dti_jlf_tr_L_FO","dti_jlf_tr_R_FRP","dti_jlf_tr_L_FRP","dti_jlf_tr_R_FuG","dti_jlf_tr_L_FuG","dti_jlf_tr_R_GRe","dti_jlf_tr_L_GRe","dti_jlf_tr_R_IOG","dti_jlf_tr_L_IOG","dti_jlf_tr_R_ITG","dti_jlf_tr_L_ITG","dti_jlf_tr_R_LiG","dti_jlf_tr_L_LiG","dti_jlf_tr_R_LOrG","dti_jlf_tr_L_LOrG","dti_jlf_tr_R_MCgG","dti_jlf_tr_L_MCgG","dti_jlf_tr_R_MFC","dti_jlf_tr_L_MFC","dti_jlf_tr_R_MFG","dti_jlf_tr_L_MFG","dti_jlf_tr_R_MOG","dti_jlf_tr_L_MOG","dti_jlf_tr_R_MOrG","dti_jlf_tr_L_MOrG","dti_jlf_tr_R_MPoG","dti_jlf_tr_L_MPoG","dti_jlf_tr_R_MPrG","dti_jlf_tr_L_MPrG","dti_jlf_tr_R_MSFG","dti_jlf_tr_L_MSFG","dti_jlf_tr_R_MTG","dti_jlf_tr_L_MTG","dti_jlf_tr_R_OCP","dti_jlf_tr_L_OCP","dti_jlf_tr_R_OFuG","dti_jlf_tr_L_OFuG","dti_jlf_tr_R_OpIFG","dti_jlf_tr_L_OpIFG","dti_jlf_tr_R_OrIFG","dti_jlf_tr_L_OrIFG","dti_jlf_tr_R_PCgG","dti_jlf_tr_L_PCgG","dti_jlf_tr_R_PCu","dti_jlf_tr_L_PCu","dti_jlf_tr_R_PHG","dti_jlf_tr_L_PHG","dti_jlf_tr_R_PIns","dti_jlf_tr_L_PIns","dti_jlf_tr_R_PO","dti_jlf_tr_L_PO","dti_jlf_tr_R_PoG","dti_jlf_tr_L_PoG","dti_jlf_tr_R_POrG","dti_jlf_tr_L_POrG","dti_jlf_tr_R_PP","dti_jlf_tr_L_PP","dti_jlf_tr_R_PrG","dti_jlf_tr_L_PrG","dti_jlf_tr_R_PT","dti_jlf_tr_L_PT","dti_jlf_tr_R_SCA","dti_jlf_tr_L_SCA","dti_jlf_tr_R_SFG","dti_jlf_tr_L_SFG","dti_jlf_tr_R_SMC","dti_jlf_tr_L_SMC","dti_jlf_tr_R_SMG","dti_jlf_tr_L_SMG","dti_jlf_tr_R_SOG","dti_jlf_tr_L_SOG","dti_jlf_tr_R_SPL","dti_jlf_tr_L_SPL","dti_jlf_tr_R_STG","dti_jlf_tr_L_STG","dti_jlf_tr_R_TMP","dti_jlf_tr_L_TMP","dti_jlf_tr_R_TrIFG","dti_jlf_tr_L_TrIFG","dti_jlf_tr_R_TTG","dti_jlf_tr_L_TTG"
3951779362,2.37231,2.23503,2.76596,2.58571,2.47242,3.07545,2.49567,2.07979,2.16876,2.95175,2.83141,1.88479,1.76623,2.07396,2.03812,2.45427,2.41623,3.54164,2.9227,3.05441,2.87218,2.98295,2.78081,2.72588,1.80008,1.78869,1.92083,1.81517,2.50295,2.59021,2.7127,2.72136,3.08446,2.85321,2.93496,3.16539,2.76335,2.79665,0.12747,0.26983,2.53963,2.44181,2.56382,2.74688,1.54828,1.39139,2.0697,1.75266,2.87215,2.67302,1.37337,1.21941,2.77319,2.90638,2.85894,2.88562,2.11565,2.47535,1.90464,1.74864,2.52053,2.44924,3.74167,3.84486,3.41229,3.25181,3.07384,3.25501,2.07922,1.88189,1.14874,0.61292,2.2308,2.1981,2.39509,2.96066,1.94686,1.93834,2.78167,2.79734,2.99199,3.08694,3.08856,3.07918,2.73501,2.72433,2.62421,2.67983,2.62356,2.9746,2.82318,2.82582,2.80646,2.93694,2.97663,3.15418,3.04776,2.85051,2.97408,2.91297,2.88771,3.31013,3.43886,3.18168,1.7152,2.00985,2.38106,2.43254,2.36069,2.3588,2.09328,2.07916,1.68565,2.11967,1.75172,2.01986,2.82118,2.82478
1445822964,2.54868,2.51375,2.87112,2.94217,2.19334,3.45164,4.24665,1.87266,1.98963,3.06992,3.00621,2.02091,1.95949,2.17472,2.15345,2.53227,2.53276,3.00338,2.48116,2.56893,2.99977,2.98926,2.90337,2.89495,2.09763,1.86043,1.85788,2.02823,2.76533,2.68065,3.08345,3.10138,2.97689,2.84437,2.59337,3.24271,2.97769,3.18681,0.73779,1.05168,2.47337,2.57543,2.09381,2.03105,1.8654,1.79442,1.98287,1.81194,3.00637,2.98846,1.38272,1.37455,2.93392,2.95652,2.88268,2.88936,2.45572,2.51492,1.99225,2.10026,2.07059,2.07556,3.87954,3.4252,3.1797,3.17313,3.0706,3.307,2.28141,2.2122,1.03514,0.60699,2.44042,2.44378,2.89275,2.80956,2.42304,1.94766,2.82785,2.82562,2.88021,2.96042,2.95502,3.11525,3.17136,3.13169,3.21089,3.01808,2.36713,2.77949,2.70226,2.72816,3.35098,3.5764,2.71988,3.00347,3.01973,3.28332,2.79212,2.80135,3.25174,3.45675,3.11641,3.25514,1.59681,2.35734,2.00204,2.04318,2.15824,1.94052,2.37629,2.66935,1.51588,2.09599,2.16921,2.21091,3.24046,3.1414
2616503795,2.22853,2.26021,2.72267,2.61663,2.34193,2.67624,2.96091,1.9936,2.01315,3.29949,3.41832,1.83346,1.66425,2.05246,2.00292,2.24725,2.3637,3.26568,2.69737,3.08282,2.7561,2.95502,2.91078,2.91222,1.31857,1.36235,1.81045,1.95483,2.91141,2.5378,2.90358,2.85183,3.07902,2.87989,2.26237,2.73216,2.92315,2.67296,0.03983,0.21676,2.26333,2.37053,1.72276,1.62795,1.48992,1.31926,1.81829,1.69124,3.14955,2.79768,0.77199,0.90601,2.71861,2.8233,2.83748,2.88124,2.12081,2.43092,1.63211,1.68773,1.70366,1.7586,4.33228,4.00182,3.20828,3.09502,2.92679,3.30622,2.21945,2.00709,0.59664,0.33763,2.21753,1.90252,2.51045,2.86885,1.73633,2.01254,2.81952,2.77784,2.99076,3.02784,2.91274,3.25117,3.07494,2.91563,2.72056,2.91835,3.02828,3.14525,2.61997,2.70413,2.98677,3.25952,3.04223,3.29836,3.07332,2.71967,3.05361,2.87223,2.88519,3.15971,3.15114,3.0919,2.15781,2.62921,1.77242,2.00365,2.26214,2.19972,2.257,2.2127,1.29895,1.83992,1.7427,2.0809,3.13421,3.13726
1497791373,2.27518,2.20962,2.56854,2.62153,1.91003,3.04691,3.61709,1.68285,1.74412,2.79239,2.76941,2.00498,1.83931,2.03177,2.01258,2.33991,2.43935,3.28355,2.90478,2.5887,2.8714,2.99165,2.81666,2.90294,1.15576,0.89147,1.30076,0.97485,2.57648,2.4795,2.65317,2.64254,2.42025,2.55154,2.35574,2.70846,2.93853,3.12425,0.00401,0.02577,2.40349,2.35694,1.38226,1.34322,0.82973,0.51579,1.45806,1.22171,2.77619,2.68546,0.68403,0.55947,2.84909,2.75995,2.61521,2.92372,1.87079,1.94176,0.98518,0.62794,1.87453,1.74165,3.70115,3.68066,3.44928,3.26079,3.03062,3.18118,1.77943,1.61552,0.02402,0.03358,1.70233,1.46914,2.52409,2.39378,1.82253,1.50559,2.89051,2.71684,2.63371,2.82478,2.88747,3.06048,3.13735,2.98528,2.60001,2.63292,2.09744,2.43324,2.67878,2.63158,3.10712,3.18346,2.75403,3.09703,2.88845,2.84723,2.50904,2.7759,2.73995,2.91186,3.35798,3.41176,1.46806,1.67335,0.96498,0.89059,1.38945,1.17559,1.93604,2.06955,1.21079,1.16479,1.28065,1.21972,3.20717,3.0532
809696316,2.3071,2.32249,2.74765,2.64449,2.35295,2.69326,2.63903,2.04345,2.08846,2.78173,2.81976,1.89687,1.97395,2.07181,2.06017,2.17999,2.18638,2.80372,2.5029,2.69644,2.58971,2.59193,2.65338,2.61385,2.2246,2.3466,1.34261,1.29784,2.42632,2.31931,2.64715,2.47959,2.2798,2.30132,3.02772,2.82867,2.70693,2.6543,1.21675,1.55501,2.35906,2.25335,2.189,2.1241,1.47345,1.40016,1.76857,1.62559,2.63658,2.49966,2.15154,2.19826,2.43024,2.46378,2.68208,2.50461,2.06932,2.17919,1.50071,1.35594,1.93295,2.00971,2.64819,2.52424,2.684,2.40256,2.8352,2.90474,2.01968,1.88334,0.32274,0.26866,2.18634,1.93683,2.52085,2.4323,2.49741,2.33934,2.47976,2.42028,2.34297,2.35784,2.8766,2.96533,2.65685,2.73008,2.53468,2.48825,1.96974,1.89191,2.5547,2.75733,2.81979,2.84692,2.35191,2.22465,2.39995,2.28511,3.72619,3.24,2.50538,2.53941,2.60126,2.5318,1.37013,1.4266,1.23967,1.53961,1.16373,1.35615,2.0097,1.94386,2.26094,2.02415,2.45741,2.38149,2.80374,2.58553
2529281397,2.35468,2.30659,2.61032,2.49636,2.16125,2.68884,2.92028,1.31731,1.68996,2.94028,2.89956,2.03327,1.90034,2.15927,2.08604,2.23592,2.41516,2.86969,2.64268,2.56267,2.75635,2.915,2.80823,2.74171,1.73936,2.49939,1.2066,2.35507,2.04775,1.97279,2.68751,2.80998,2.43651,2.39252,3.20694,2.49158,3.12937,3.02464,2.07097,2.97467,2.18806,2.26913,1.68878,1.784,0.38822,0.79733,0.89431,1.61743,2.32539,2.37199,0.68887,2.05218,2.76261,2.71785,2.88352,3.00242,2.6515,3.05299,0.60526,1.17687,1.95156,2.28989,3.44901,3.04178,3.14582,2.83374,3.05984,3.23278,1.24098,2.15836,0.0116,0.02578,1.12164,1.45365,1.98601,2.96501,1.39763,3.23739,2.51393,2.60923,2.82226,2.93745,3.0941,3.03031,2.80462,2.69896,2.54136,2.92788,2.50396,2.95685,2.73495,2.81949,2.79725,3.14615,2.6654,2.99151,2.539,2.77135,3.12028,3.40549,3.71931,3.68626,2.92423,2.93224,1.81832,2.87761,1.12501,1.53081,2.3034,2.56486,1.64941,2.37442,1.71473,1.88046,1.41118,3.09168,3.01529,3.14564
151035426,2.33758,2.35347,2.80229,2.76711,2.60984,3.05325,2.96896,2.33761,2.3731,3.03007,3.08701,2.0296,1.88272,2.18222,2.12628,2.36469,2.36232,3.29703,2.90901,2.88171,2.94036,2.8948,2.88913,2.98283,1.91359,1.80469,2.44897,1.83293,2.9063,2.78801,2.9244,3.1058,3.36734,3.0082,3.45463,3.34485,3.10524,3.33974,0.7623,0.99354,2.62291,2.75431,2.37097,2.18787,2.00052,1.29847,1.95639,1.96397,3.24884,3.17199,1.52731,1.3373,3.04798,2.83224,2.89149,2.71534,2.75839,2.85432,2.65348,1.88125,2.08983,2.03049,4.70256,3.8647,3.97027,3.23382,3.62428,3.67543,2.14737,2.04152,0.60443,0.18881,2.63291,2.28751,3.01638,3.04256,2.46201,2.29981,2.86775,2.83531,3.29171,3.45403,3.28158,3.50574,2.95342,2.88095,2.88017,2.86546,3.11156,2.96623,2.81549,2.81867,3.12107,3.16861,2.99195,3.05465,3.3218,3.06854,3.24143,2.96865,3.40689,4.00462,3.79719,3.67675,2.47839,2.46287,2.69162,2.14288,2.56977,2.24123,2.35543,2.39013,2.02626,2.40561,2.89994,2.66261,3.10115,3.23154
1094642261,2.35279,2.33325,2.58294,2.58881,1.69254,2.9916,3.19185,1.11404,1.07146,3.03988,2.87097,2.09704,1.87997,2.15592,2.06612,2.42302,2.49778,3.11842,2.92632,1.76638,2.90895,2.8317,2.93854,2.70586,0.89794,0.69373,1.06814,1.08296,2.24009,1.86457,2.87821,2.5292,2.3404,2.37947,1.95622,3.37351,3.1152,2.76899,0.00943,0.01325,2.16623,2.37267,0.93588,0.81517,0.41278,0.21422,0.95328,0.69707,2.71434,2.59078,0.55613,0.48343,2.86035,2.67149,2.39431,2.67179,1.7397,1.89027,0.64787,0.54262,1.25714,1.02946,3.80998,3.65493,3.59012,3.39391,2.95008,3.14319,1.50611,1.02798,0.00591,0.00416,1.25638,1.03034,2.06724,2.04241,1.37913,1.29895,2.75753,2.67934,2.96989,2.94228,2.69273,3.24735,3.02737,2.84439,2.86222,2.60173,2.87379,2.77559,2.26715,2.28414,2.93868,3.13281,2.91773,3.01306,2.82834,2.53272,2.53703,3.44409,2.98305,3.02813,3.36962,3.24476,1.17907,1.24919,0.98377,0.88678,1.93891,1.75222,1.81116,1.55713,0.98893,0.92743,1.04723,0.89182,2.87367,3.19333
495104354,2.39016,2.3742,2.58496,2.45849,2.05343,2.72737,2.79985,1.83393,1.67768,2.94527,2.85898,2.10535,1.9857,2.16369,2.11289,2.26516,2.32425,2.77836,2.40742,2.46559,2.76653,2.75102,2.88798,2.8527,1.36656,1.38348,1.8422,1.77467,2.4354,2.49531,2.9582,2.74204,2.76879,2.69751,2.37077,2.61935,3.11802,2.88155,0.16022,0.30067,2.20935,2.20729,2.20044,2.08904,1.68502,1.56553,1.83467,1.69759,2.65709,2.51603,0.98314,0.91418,2.63372,2.61893,2.78798,2.68966,2.28074,2.32454,1.75311,1.38239,1.74524,1.78778,4.32231,3.20441,3.05664,2.77301,3.02435,3.05969,2.03024,1.8426,0.50125,0.27762,2.23749,2.07361,2.99202,2.6981,1.83761,1.61887,2.57985,2.58326,2.61982,2.68351,2.53835,2.60007,3.28664,3.0841,2.84599,2.61854,2.45156,2.22906,2.50658,2.58127,2.86385,3.01145,2.62803,2.49605,2.77371,2.45125,2.58287,2.68844,2.72671,2.87602,3.05074,3.09932,1.73179,1.88008,1.44151,1.32814,1.8841,1.718,2.10326,2.02553,1.74039,1.73423,2.14269,1.68203,3.20891,2.83818
886281217,2.33137,2.34425,2.7034,2.39006,2.32606,2.77344,2.97147,1.83225,1.91469,3.06929,2.8488,2.21681,1.94417,2.16325,2.0926,2.24333,2.33077,3.24738,2.7745,2.88565,3.03457,2.90708,3.08283,2.85797,1.78585,1.47417,1.73061,1.5498,2.63078,2.6345,3.07347,2.77892,3.05529,2.84384,2.89041,2.71055,3.00037,3.00164,0.60097,0.73954,2.39025,2.40297,1.78772,1.7647,1.64717,1.19521,1.9631,1.95861,2.87559,2.85194,0.97658,0.83911,2.94811,2.78473,3.16918,3.18543,2.6259,2.76918,1.66314,1.16986,2.2041,1.90547,4.28736,3.45427,3.67253,3.0527,3.98363,4.2951,2.11601,2.08643,0.7479,0.48539,2.28918,2.11997,3.23766,3.30375,1.90065,2.04875,2.76171,2.86332,3.23786,3.08129,2.96136,2.95978,2.99259,2.76825,2.76894,2.58515,2.87539,3.2384,2.61224,2.74263,3.12191,3.27844,3.30642,3.45277,2.89041,2.84624,3.12463,3.05378,3.92296,3.84652,3.48977,3.30211,1.77393,2.07973,2.11178,1.6078,2.40201,2.29119,2.05574,2.104,1.75605,2.2686,2.13047,2.20245,3.1466,3.03826
