"HBID","dti_jlf_ad_L_Limbic_Lobe_WM","dti_jlf_ad_L_Insular_Lobe_WM","dti_jlf_ad_L_Frontal_Lobe_WM","dti_jlf_ad_L_Parietal_Lobe_WM","dti_jlf_ad_L_Occipital_Lobe_WM","dti_jlf_ad_L_Temporal_Lobe_WM","dti_jlf_ad_R_Limbic_Lobe_WM","dti_jlf_ad_R_Insular_Lobe_WM","dti_jlf_ad_R_Frontal_Lobe_WM","dti_jlf_ad_R_Parietal_Lobe_WM","dti_jlf_ad_R_Occipital_Lobe_WM","dti_jlf_ad_R_Temporal_Lobe_WM"
3951779362,1.18713,1.07086,0.99182,1.00314,0.97227,0.96003,1.17515,1.0468,0.97673,1.01351,0.99663,0.96592
1445822964,1.20602,1.10994,1.03164,1.03062,1.00062,0.995,1.23327,1.10448,1.03612,1.04541,1.02877,1.0157
2616503795,1.15084,1.0423,0.95607,0.9946,0.97934,0.93208,1.16683,1.03658,0.95646,1.01,0.99198,0.95403
1497791373,1.14689,1.06806,0.96196,0.98378,0.89359,0.97602,1.15557,1.07466,0.9615,0.99142,0.90768,0.96575
809696316,1.10843,1.01315,0.94113,0.92289,0.90941,0.93179,1.12784,1.01355,0.94013,0.93462,0.92428,0.93946
2529281397,1.17931,1.0809,0.97873,0.98785,0.8502,0.94164,1.21435,1.08099,0.98692,1.01224,0.90956,0.97855
151035426,1.1355,1.05708,1.00224,1.0137,0.99707,0.96788,1.15492,1.05038,1.00842,1.04016,1.00069,0.97272
1094642261,1.1436,1.08789,0.97251,1.00828,0.81403,0.92207,1.15718,1.06829,0.95717,1.01205,0.77233,0.93059
495104354,1.1685,1.10653,1.01117,1.0177,0.99999,1.00616,1.17841,1.1026,1.01861,1.01677,0.99667,1.00107
886281217,1.1795,1.09272,1.00654,1.01836,0.98121,0.97533,1.1989,1.07804,1.0024,1.03353,0.98888,0.97581
1186286400,1.11627,1.06352,0.9828,0.97813,0.93652,0.95052,1.14277,1.04694,0.98182,0.99547,0.96799,0.9549
64650339,1.15671,1.07309,0.98342,1.02549,1.01883,0.96612,1.17128,1.06005,0.98283,1.01786,1.00875,0.96666
1756317320,1.14068,1.07441,0.96814,0.98106,0.97577,0.96497,1.14793,1.05861,0.96999,0.99565,0.94984,0.96279
1557931441,1.1846,1.07997,1.02574,1.04369,1.04758,0.9962,1.18821,1.06792,1.02364,1.06641,1.05338,0.99428
2935809726,1.14007,1.05944,0.97992,0.9932,0.9648,0.9398,1.15703,1.06101,0.9792,1.00097,0.97867,0.95571
1852674447,1.17435,1.09725,0.94806,1.00633,0.9452,0.94232,1.17417,1.07044,0.91284,0.98112,0.9,0.86857
1385105483,1.19685,1.09713,1.01409,1.04073,1.00891,1.00835,1.20564,1.07759,1.0039,1.03958,1.00396,0.99312
3072223930,1.16614,1.11501,0.99739,1.01656,0.96986,0.97144,1.18872,1.09978,0.99185,1.01912,0.98042,0.98936
2034020724,1.14863,1.05311,0.96717,0.968,0.96375,0.93168,1.17075,1.04987,0.97504,0.98767,0.9882,0.94722
1602234257,1.16407,1.09368,0.97772,0.98738,0.94561,0.96231,1.17542,1.0792,0.98259,1.0018,0.96027,0.97881
995687125,1.19246,1.11972,1.03795,1.04127,0.98397,0.98609,1.20795,1.10994,1.02694,1.04091,0.97422,0.99252
4229389759,1.16574,1.08124,0.99395,1.00921,0.94688,0.99269,1.17237,1.07042,1.00332,1.0108,0.95107,0.98246
1886825078,1.13028,1.03025,0.96777,0.98924,0.96272,0.95743,1.14782,1.0209,0.96685,0.99357,0.97065,0.96309
490151209,1.19063,1.07005,1.0086,1.03054,0.98006,0.97856,1.21497,1.05685,1.00882,1.03256,0.99749,1.00093
3091067187,1.14446,1.07698,0.9734,0.97929,0.96776,0.96445,1.16885,1.06456,0.97895,0.99914,1.00872,0.95383
1693438843,1.19983,1.10928,0.99723,1.00444,0.96631,0.96305,1.20781,1.08534,0.99344,1.01872,0.94639,0.97638
127877677,1.15925,1.08096,0.95653,0.99942,0.96945,0.94929,1.17136,1.07061,0.96552,1.00644,0.97958,0.95759
4021315118,1.16175,1.06505,0.98548,0.99331,0.97217,0.98835,1.17936,1.06883,0.98932,1.01604,0.9818,0.99934
3807569399,1.17818,1.08528,0.98685,1.03807,1.02004,0.96733,1.18634,1.0839,0.98656,1.02853,0.99924,0.98542
1764595898,1.09617,1.05165,0.9885,0.97995,0.93204,0.93867,1.10912,1.02027,0.9797,0.99514,0.94125,0.93024
567224934,1.14353,1.07496,0.97104,0.99282,0.95575,0.95446,1.16527,1.07511,0.96713,1.01788,0.97475,0.96661
3552268730,1.18446,1.10422,1.00415,1.05044,0.97488,0.98685,1.22491,1.12812,1.01157,1.07689,1.0234,1.00704
423510458,1.12344,1.03012,0.94222,0.97583,0.906,0.9233,1.15702,1.05179,0.9506,0.9908,0.9018,0.94383
3971741950,,,,,,,,,,,,
4209635710,1.13868,1.03398,0.94018,0.94701,0.93235,0.90421,1.1302,1.03012,0.95075,0.96602,0.96706,0.92828
3183721577,1.15894,1.08382,0.98821,0.97286,0.9383,0.9579,1.1769,1.07004,0.9925,0.99215,0.96427,0.97077
1798312651,1.17203,1.04371,0.97188,1.01363,1.01854,0.954,1.17875,1.05396,0.97325,1.0336,1.03399,0.96445
2582662627,1.18137,1.07421,1.01079,1.01722,0.98882,0.96826,1.195,1.06757,0.99967,1.04033,0.97295,0.98884
789242708,1.06728,1.01652,0.95622,0.98524,0.9537,0.93151,1.07468,0.99987,0.9597,0.98455,0.95532,0.93531
737209773,1.2284,1.07013,0.99176,1.02666,1.11304,0.98112,1.21286,1.05558,0.99977,1.02676,1.09316,0.96857
2553165637,1.15987,1.06726,0.98412,1.02881,0.98071,0.96824,1.18849,1.05807,0.99483,1.06414,0.98197,0.97461
3454988663,1.15388,1.08625,0.99314,0.99233,0.9552,0.9837,1.17533,1.07241,0.98237,0.98924,0.9819,0.96467
4231086927,1.17443,1.07725,0.96998,0.99504,0.94446,0.97427,1.1876,1.06897,0.97312,0.98978,0.95234,0.97117
3860581481,1.16902,1.08698,0.98415,1.02572,1.0089,0.9848,1.20126,1.08689,0.97961,1.06235,1.05276,1.00822
959456866,1.17882,1.0941,0.9492,0.99355,1.00382,0.96899,1.15537,1.07046,0.92835,0.99286,0.95305,1.00276
354512339,1.17223,1.06015,0.9983,1.04282,1.03001,0.97695,1.1831,1.05266,0.99612,1.05627,1.0592,0.99034
3938050789,1.14378,1.06959,0.96198,0.96749,0.94225,0.96764,1.17166,1.07856,0.95442,0.98982,0.94245,0.97508
1137322737,1.19728,1.09603,1.03443,1.04674,1.024,0.99724,1.20925,1.09082,1.02103,1.06779,1.03119,1.01467
1573185083,1.18638,1.08377,0.95481,0.99865,0.96941,0.96596,1.18518,1.07577,0.96741,1.007,0.96717,0.98797
1534450579,1.20914,1.07033,0.95782,0.99142,1.00341,0.95713,1.17298,1.04711,0.95547,0.98456,0.98222,0.93834
2730766942,1.15236,1.10697,0.94753,0.98695,0.92714,0.98629,1.17889,1.10724,0.96253,0.99246,0.94338,0.96892
1082549547,1.15663,1.06711,1.00415,1.00805,0.90532,0.97155,1.16922,1.0605,1.01119,1.00146,0.92838,0.96696
1486478124,1.17267,1.08544,1.01371,1.02242,0.98009,0.96885,1.183,1.07504,1.01589,1.03765,0.9862,0.97062
3388790720,1.12825,1.03643,0.96876,0.98469,0.92202,0.95226,1.14312,1.02022,0.96824,0.99098,0.90363,0.94484
2861074432,1.17208,1.10012,1.0077,1.00097,0.92921,0.97627,1.19774,1.10038,1.00554,1.0059,0.94103,0.99466
2260339113,1.09375,0.96912,0.91963,0.93588,0.90282,0.88161,1.11182,1.00004,0.94653,0.94916,0.91501,0.90457
316083542,1.13696,1.04326,0.9623,0.97224,0.95073,0.94714,1.15986,1.04621,0.9663,0.98279,0.98122,0.95729
3775337602,1.14229,1.02114,0.97112,1.0104,0.9671,0.96251,1.16527,1.03681,0.96633,1.00586,1.02474,0.95175
1531579702,1.1439,1.04298,0.96229,0.96745,0.94917,0.94792,1.1447,1.04873,0.96667,0.99304,0.97339,0.95897
765448154,,,,,,,,,,,,
3588536075,1.15893,1.07551,0.98317,1.00227,0.96662,0.95295,1.19273,1.07777,0.99677,1.02239,0.98698,0.96924
2287331385,,,,,,,,,,,,
20654339,1.17995,1.06538,0.98756,1.01443,0.98177,0.97536,1.19715,1.07103,0.9904,1.01553,0.98711,0.98061
3376556122,1.23579,1.12961,1.05351,1.02508,0.94322,1.0566,1.17027,1.15342,1.02756,0.99364,0.96008,1.01068
613521073,1.18978,1.09486,1.02796,1.03757,1.02553,0.97442,1.22258,1.08662,1.03764,1.07151,1.03071,1.02108
2102356124,1.174,1.06543,0.9864,1.03051,0.9915,0.97678,1.19896,1.06966,0.98055,1.03737,0.99433,0.99709
481393348,1.16465,1.07358,0.95962,0.99211,0.96898,0.97366,1.18669,1.08043,0.95934,1.018,0.96024,0.97216
2532217587,,,,,,,,,,,,
2305333358,,,,,,,,,,,,
1418080678,1.20745,1.10694,1.02266,1.04555,1.02646,0.97588,1.20435,1.08566,1.03201,1.06321,1.02804,1.00277
2755772031,1.15629,1.10264,1.00848,1.01808,0.95855,0.99235,1.15273,1.08724,1.01077,1.02009,0.96139,0.98695
1890085688,1.16707,1.08464,0.95227,0.96507,0.9628,0.94209,1.20655,1.07955,0.96731,1.00273,0.98021,0.96492
1034657997,1.22357,1.08667,0.96318,0.98587,0.95533,0.95211,1.29603,1.11955,0.96943,1.02328,1.06768,0.97698
1897596912,1.16311,1.06604,0.95047,0.97246,0.95955,0.95209,1.18361,1.06504,0.94868,0.99691,0.97322,0.9625
2363602447,1.18008,1.08683,0.99824,1.02661,0.95758,0.96644,1.20265,1.08073,0.9957,1.04046,1.00678,0.97445
1686994200,1.15855,1.073,0.97077,0.98269,0.95675,0.97356,1.16677,1.07604,0.98147,0.99385,0.9677,0.97403
1946601524,1.16103,1.0658,0.96286,0.9571,0.93671,0.92741,1.175,1.05564,0.94967,0.96697,0.96811,0.93339
3046377301,1.20302,1.08774,0.96911,0.97096,0.96343,0.94488,1.21403,1.08522,0.95717,1.00202,0.94657,0.95428
2370146678,1.14649,1.07247,0.96015,1.00109,0.96446,0.95897,1.15725,1.06834,0.96153,1.00157,0.96332,0.93954
4266934296,1.1581,1.08196,0.98723,0.98618,0.96113,0.96107,1.15294,1.06817,0.98852,0.99955,0.97117,0.95606
56391123,1.16101,1.08024,0.98207,1.02425,0.96383,0.95276,1.16781,1.06686,0.9775,1.04127,0.9761,0.97112
902707040,1.13176,1.07427,0.96074,0.99501,0.98503,0.97184,1.15774,1.06544,0.949,1.00175,0.991,0.98531
3182716794,1.18481,1.1028,0.98821,1.01399,0.94879,0.96275,1.19561,1.0819,0.98413,1.00728,0.94839,0.97373
2957633895,1.1842,1.07871,0.99069,1.00145,0.968,0.9837,1.19606,1.06873,0.96714,0.98175,0.96993,0.97003
3744215128,1.22871,1.13487,0.98388,1.02314,0.97864,0.96077,1.27924,1.13203,0.98042,1.04739,1.05364,0.97497
176635263,1.15584,1.09067,0.99857,1.0395,1.02227,0.95539,1.18259,1.07273,0.97815,1.03423,0.99773,0.97264
3944436839,1.184,1.10588,1.00226,1.01524,0.97644,0.99193,1.20415,1.0879,1.01026,1.02057,0.95548,0.99582
1046150284,1.16448,1.06797,0.97838,1.00509,0.97137,0.97275,1.16374,1.05795,0.97205,1.01669,0.97098,0.97571
969429067,1.13595,1.07292,0.94256,0.96786,0.94337,0.93275,1.17022,1.07534,0.94909,0.99329,0.9163,0.95124
3885303335,1.21058,1.0939,0.98022,0.99362,1.00311,0.97029,1.2086,1.08557,0.98285,1.00969,0.98997,0.97357
3514026778,,,,,,,,,,,,
2571584363,,,,,,,,,,,,
164340311,1.13363,1.05701,0.94719,0.99435,0.9394,0.93219,1.14796,1.03613,0.95836,1.01143,0.94762,0.9608
1510661513,1.08594,1.00413,0.94045,0.94393,0.94357,0.90609,1.11446,1.01398,0.94478,0.97348,0.95507,0.93295
387676254,1.20383,1.02166,0.94017,0.94516,0.93956,0.91683,1.23161,1.02758,0.93389,0.98236,1.07407,0.9333
2637186896,1.14828,1.06626,0.95398,0.98356,0.9766,0.95783,1.15794,1.05809,0.95881,1.00863,0.99948,0.96065
2941595782,1.14707,1.06234,0.96909,1.01927,0.97915,0.95212,1.16944,1.04979,0.97774,1.02817,0.9916,0.96034
4052704078,1.15429,1.08108,1.01277,1.00534,0.9752,0.95075,1.15752,1.06197,1.00019,1.0155,0.99001,0.96723
2144166108,1.1971,1.10303,0.97233,1.0321,0.924,0.99878,1.21372,1.10067,0.97699,1.08111,0.98564,0.96175
3632718209,1.19835,1.04794,0.96307,0.99282,1.00322,0.97113,1.20675,1.04914,0.96489,1.01066,0.99909,0.95703
2436560104,1.1652,1.09628,0.96543,0.99319,0.96769,0.95568,1.16948,1.07463,0.9665,0.99827,0.9723,0.96596
209477679,1.19503,1.07256,0.99253,1.0177,0.95788,0.97214,1.19478,1.07156,1.00482,1.03458,0.96387,0.98478
880826039,1.15859,1.08744,0.9879,1.00604,0.97238,0.97925,1.17365,1.09451,0.99712,1.01381,0.99314,0.98474
3342436384,1.16354,1.08525,0.98472,1.00539,0.95958,0.98831,1.18008,1.08564,0.99079,1.01943,0.95813,1.00002
3747244531,1.14466,1.06235,0.95093,0.9912,0.95128,0.93221,1.17055,1.06518,0.94622,1.00523,0.97837,0.95387
1674892806,1.1493,1.04791,0.97004,0.98921,0.9464,0.95463,1.16366,1.04202,0.9689,1.00142,0.96251,0.97099
2023048953,,,,,,,,,,,,
547350619,1.16249,1.06043,0.91098,0.9511,0.92614,0.91297,1.12313,1.05133,0.92696,0.96355,0.89641,0.93003
2824974022,1.16658,1.05489,0.93754,0.97793,0.95501,0.94098,1.18963,1.05956,0.94471,1.00427,0.97811,0.95875
1889365920,1.10266,1.04339,0.92646,0.93474,0.91022,0.93243,1.13617,1.01488,0.91059,0.95448,0.94471,0.92754
3589036789,1.16038,1.04909,0.96913,1.00396,0.96958,0.96244,1.17874,1.0567,0.97522,1.01148,0.9903,0.97514
499135165,1.49757,1.13561,1.01557,1.03358,1.07819,1.01182,1.65583,1.16461,1.03559,1.08239,1.19473,1.00447
1407108815,1.16392,1.06602,0.9501,0.9714,0.94285,0.9499,1.16674,1.06715,0.94744,0.98745,0.95641,0.95629
199352133,1.17722,1.10494,1.00318,0.99999,0.93924,0.98072,1.1993,1.09159,1.00168,1.00997,0.95826,0.97065
1753490809,1.17307,1.08163,1.02162,1.00617,0.99793,0.98752,1.18375,1.07625,1.02222,1.01655,0.97223,0.99117
666185463,1.15329,1.08004,1.00013,1.00761,0.97228,0.96947,1.17664,1.06855,0.99493,1.01693,0.99268,0.98028
379180764,1.14743,1.06307,0.96243,1.01741,0.97382,0.95693,1.15292,1.03883,0.94338,1.03827,0.99722,0.9549
2716317602,1.16316,1.05986,0.97038,0.96702,0.95009,0.96628,1.18771,1.06413,0.97637,0.99788,0.95191,0.96045
1343122718,1.13498,1.07955,0.968,0.96134,0.91986,0.94281,1.15372,1.07618,0.96962,0.97411,0.93578,0.96216
25535893,1.20998,1.08179,1.0039,1.01604,0.96632,0.9896,1.21992,1.06921,0.99285,1.03821,0.96729,0.98445
429918668,,,,,,,,,,,,
248793696,1.13978,1.0934,0.96509,0.97113,0.92969,0.97349,1.14879,1.09264,0.96913,0.98564,0.94235,0.96832
2761175367,1.15036,1.07308,0.94164,0.97942,0.94285,0.94626,1.20013,1.06687,0.93886,0.97571,0.97257,0.9505
2969014077,1.1306,1.06335,0.97479,0.95627,0.92642,0.94394,1.1333,1.0584,0.96168,0.972,0.93636,0.95013
4163447383,,,,,,,,,,,,
561946273,1.2385,1.08668,0.92474,0.9597,0.9223,0.93399,1.22282,1.08364,0.93376,0.97722,0.93489,0.96059
1565165476,,,,,,,,,,,,
591080700,1.1523,1.06975,1.01153,1.01287,1.00655,0.95641,1.16448,1.06184,1.00106,1.01286,1.00451,0.96471
1055786393,1.19903,1.13192,0.97266,1.03289,0.99137,0.99647,1.2063,1.11696,0.98331,1.03919,0.99002,0.9893
361032043,1.14026,1.06145,0.94397,0.99164,0.93465,0.97135,1.15072,1.05232,0.93916,0.99398,0.9609,0.95671
735501373,1.14509,1.07824,1.00134,0.99054,0.962,0.96489,1.17467,1.0877,0.99761,1.00259,0.98287,0.98194
857543307,1.1848,1.0842,0.98279,1.00574,0.92892,0.9777,1.18822,1.0816,0.98688,1.00523,0.92489,0.97596
2303529910,1.19654,1.08955,0.95545,0.9923,0.96476,0.95318,1.15354,1.07369,0.94409,0.99016,0.9354,0.95301
1117728478,1.15265,1.06917,0.99905,1.03266,1.00832,0.98118,1.17684,1.05995,1.00766,1.05261,1.00865,0.98292
