"HBID","dti_jlf_fa_L_Limbic_Lobe_WM","dti_jlf_fa_L_Insular_Lobe_WM","dti_jlf_fa_L_Frontal_Lobe_WM","dti_jlf_fa_L_Parietal_Lobe_WM","dti_jlf_fa_L_Occipital_Lobe_WM","dti_jlf_fa_L_Temporal_Lobe_WM","dti_jlf_fa_R_Limbic_Lobe_WM","dti_jlf_fa_R_Insular_Lobe_WM","dti_jlf_fa_R_Frontal_Lobe_WM","dti_jlf_fa_R_Parietal_Lobe_WM","dti_jlf_fa_R_Occipital_Lobe_WM","dti_jlf_fa_R_Temporal_Lobe_WM"
3951779362,0.38961,0.40237,0.2716,0.28782,0.22219,0.29414,0.39731,0.39518,0.2771,0.27837,0.2338,0.28828
1445822964,0.39927,0.39835,0.27971,0.26819,0.22104,0.27341,0.39926,0.39042,0.28078,0.26622,0.23494,0.28306
2616503795,0.40856,0.40993,0.28247,0.28655,0.21593,0.2869,0.41279,0.39875,0.28603,0.27853,0.2195,0.27768
1497791373,0.41666,0.43728,0.29102,0.30299,0.24925,0.30005,0.41617,0.42826,0.29331,0.2986,0.25485,0.30719
809696316,0.42465,0.39915,0.28102,0.29881,0.23915,0.30298,0.43157,0.39505,0.28426,0.29611,0.24972,0.29949
2529281397,0.41005,0.41293,0.28993,0.28725,0.21312,0.27512,0.39887,0.40348,0.29023,0.27703,0.2225,0.27867
151035426,0.4015,0.37985,0.27766,0.28982,0.22561,0.2775,0.4038,0.39079,0.27345,0.28116,0.20113,0.27487
1094642261,0.43656,0.42425,0.29724,0.30511,0.23365,0.33508,0.44051,0.43912,0.29554,0.29738,0.23682,0.31922
495104354,0.41221,0.40406,0.28832,0.28059,0.21816,0.26811,0.41592,0.39949,0.28885,0.28255,0.21869,0.26892
886281217,0.40804,0.42026,0.27915,0.28343,0.23165,0.29021,0.40973,0.40924,0.27814,0.27758,0.23099,0.27923
1186286400,0.41025,0.38564,0.27093,0.30055,0.22857,0.28322,0.41417,0.38304,0.27572,0.28595,0.2283,0.28495
64650339,0.41391,0.4094,0.29105,0.28315,0.23348,0.29691,0.42634,0.40688,0.2932,0.29196,0.23827,0.29992
1756317320,0.42139,0.417,0.29407,0.29566,0.22986,0.30225,0.42891,0.4203,0.29088,0.29428,0.24045,0.30408
1557931441,0.38333,0.391,0.26596,0.27958,0.219,0.29162,0.38962,0.39169,0.27189,0.2727,0.21611,0.28839
2935809726,0.40893,0.42428,0.29493,0.28945,0.22583,0.30261,0.41721,0.40991,0.2953,0.28188,0.22882,0.27462
1852674447,0.42432,0.43263,0.30576,0.30697,0.25844,0.32125,0.4345,0.43194,0.30577,0.29631,0.26107,0.30526
1385105483,0.40475,0.39397,0.28868,0.29826,0.24368,0.30483,0.40812,0.39714,0.29013,0.29194,0.23886,0.29569
3072223930,0.42919,0.41464,0.29671,0.3112,0.24888,0.31202,0.43091,0.41405,0.30067,0.30842,0.24389,0.30946
2034020724,0.41968,0.41796,0.30097,0.30756,0.25104,0.31637,0.42278,0.41941,0.30724,0.29875,0.23883,0.29876
1602234257,0.42406,0.42109,0.28749,0.31478,0.2585,0.31143,0.42635,0.42069,0.29169,0.29766,0.26898,0.30604
995687125,0.39701,0.39226,0.27981,0.29349,0.23018,0.30911,0.39995,0.40253,0.2859,0.28999,0.23789,0.2908
4229389759,0.40731,0.40295,0.28558,0.28591,0.22464,0.27032,0.41909,0.40045,0.28602,0.2971,0.23271,0.27098
1886825078,0.43508,0.40504,0.28894,0.30079,0.24871,0.31483,0.43602,0.39295,0.29059,0.29884,0.25621,0.29499
490151209,0.39888,0.40639,0.28249,0.28728,0.24195,0.30707,0.40688,0.40337,0.2844,0.28266,0.22967,0.2939
3091067187,0.40551,0.4053,0.28487,0.29005,0.21648,0.29495,0.40362,0.40193,0.28644,0.27756,0.2355,0.28749
1693438843,0.39416,0.41404,0.28463,0.30815,0.24722,0.31119,0.40284,0.41992,0.28845,0.29599,0.23929,0.30051
127877677,0.43012,0.42912,0.2981,0.30022,0.23471,0.3058,0.4336,0.4187,0.30343,0.30201,0.24168,0.29095
4021315118,0.40273,0.40002,0.27979,0.28373,0.23174,0.29636,0.39975,0.39113,0.27923,0.27948,0.2469,0.28083
3807569399,0.40797,0.41372,0.29318,0.29306,0.23546,0.31215,0.4205,0.4137,0.29854,0.30217,0.24073,0.29145
1764595898,0.41858,0.39813,0.28414,0.30219,0.24138,0.29963,0.42165,0.39817,0.28128,0.29692,0.24096,0.29076
567224934,0.42046,0.42273,0.2868,0.31694,0.24585,0.30543,0.42271,0.41555,0.29348,0.30028,0.25354,0.29677
3552268730,0.40497,0.39346,0.28416,0.29036,0.23491,0.28915,0.40383,0.40456,0.28254,0.28124,0.2419,0.27909
423510458,0.43518,0.41986,0.30335,0.30441,0.24668,0.31835,0.4412,0.41994,0.30954,0.30445,0.25649,0.30734
3971741950,,,,,,,,,,,,
4209635710,0.40362,0.41672,0.29149,0.30629,0.22764,0.30567,0.4119,0.41913,0.29121,0.28857,0.24195,0.28902
3183721577,0.41694,0.42018,0.28439,0.2808,0.22884,0.29339,0.41522,0.40705,0.28942,0.28079,0.23801,0.29428
1798312651,0.41625,0.40908,0.29576,0.29973,0.22386,0.30553,0.42114,0.40839,0.2939,0.29949,0.2304,0.29977
2582662627,0.41872,0.41479,0.29186,0.3094,0.2316,0.29838,0.42192,0.41324,0.29499,0.29947,0.24786,0.29053
789242708,0.4098,0.38526,0.27482,0.27858,0.24053,0.28317,0.41686,0.39049,0.27674,0.27993,0.2475,0.28123
737209773,0.39862,0.4138,0.27772,0.28623,0.20606,0.29345,0.40809,0.41837,0.27809,0.28247,0.21251,0.27997
2553165637,0.41443,0.40718,0.29202,0.30106,0.24349,0.31134,0.41219,0.40554,0.29078,0.28631,0.23834,0.29786
3454988663,0.40476,0.40909,0.29356,0.28621,0.22018,0.28901,0.4128,0.40356,0.29035,0.28663,0.22889,0.29075
4231086927,0.40117,0.41245,0.27978,0.29032,0.23015,0.27632,0.41253,0.40819,0.28328,0.28356,0.23838,0.27714
3860581481,0.42327,0.42785,0.28617,0.30008,0.22627,0.30776,0.41494,0.41187,0.2843,0.29015,0.24412,0.30199
959456866,0.43079,0.42643,0.30645,0.307,0.22617,0.29498,0.43836,0.42494,0.30145,0.2966,0.24392,0.28847
354512339,0.39509,0.4018,0.28926,0.27013,0.2162,0.2935,0.38992,0.38886,0.28264,0.27119,0.22331,0.28443
3938050789,0.42267,0.41883,0.2876,0.29135,0.23542,0.31247,0.43133,0.41766,0.28758,0.29111,0.24384,0.27765
1137322737,0.38946,0.38476,0.26583,0.27475,0.22069,0.27505,0.3894,0.37713,0.2723,0.26398,0.22825,0.27043
1573185083,0.40388,0.4153,0.2841,0.27194,0.21398,0.28198,0.40556,0.40687,0.28345,0.27265,0.2312,0.28162
1534450579,0.41447,0.45996,0.30672,0.31996,0.24765,0.33895,0.43581,0.45908,0.31184,0.32116,0.2505,0.32582
2730766942,0.41015,0.41154,0.26606,0.29155,0.23539,0.2832,0.41346,0.39927,0.26965,0.27976,0.2445,0.27931
1082549547,0.3946,0.40054,0.26482,0.27698,0.2286,0.27695,0.40193,0.38947,0.25745,0.27259,0.24359,0.26386
1486478124,0.38418,0.41154,0.27293,0.26836,0.22266,0.28981,0.38648,0.40734,0.27412,0.26446,0.22644,0.26676
3388790720,0.42321,0.39693,0.28142,0.28423,0.23911,0.30554,0.42564,0.4149,0.29711,0.28845,0.24725,0.30067
2861074432,0.43184,0.42308,0.29013,0.28049,0.2433,0.30438,0.42723,0.4135,0.29944,0.29021,0.25406,0.31266
2260339113,0.44949,0.42573,0.32292,0.32245,0.26075,0.33197,0.45973,0.41728,0.31066,0.31738,0.27294,0.32565
316083542,0.41507,0.41138,0.29507,0.29961,0.23332,0.30894,0.41932,0.41193,0.29606,0.28846,0.23289,0.30331
3775337602,0.41654,0.38013,0.27974,0.28015,0.22812,0.28474,0.42444,0.38846,0.2841,0.28674,0.21881,0.27887
