"HBID","dti_jlf_rd_L_Limbic_Lobe_WM","dti_jlf_rd_L_Insular_Lobe_WM","dti_jlf_rd_L_Frontal_Lobe_WM","dti_jlf_rd_L_Parietal_Lobe_WM","dti_jlf_rd_L_Occipital_Lobe_WM","dti_jlf_rd_L_Temporal_Lobe_WM","dti_jlf_rd_R_Limbic_Lobe_WM","dti_jlf_rd_R_Insular_Lobe_WM","dti_jlf_rd_R_Frontal_Lobe_WM","dti_jlf_rd_R_Parietal_Lobe_WM","dti_jlf_rd_R_Occipital_Lobe_WM","dti_jlf_rd_R_Temporal_Lobe_WM"
3951779362,0.62186,0.56003,0.65625,0.65271,0.69716,0.61587,0.60669,0.55569,0.64389,0.66742,0.6983,0.62325
1445822964,0.62728,0.58482,0.67972,0.69172,0.71817,0.66031,0.6425,0.59353,0.68398,0.70499,0.72038,0.66294
2616503795,0.58935,0.53855,0.62579,0.65204,0.71195,0.60814,0.59147,0.54804,0.62598,0.6707,0.71087,0.62997
1497791373,0.57436,0.52315,0.62156,0.62593,0.60642,0.6195,0.58054,0.53716,0.6207,0.63129,0.5978,0.60204
809696316,0.54346,0.53915,0.61988,0.5838,0.6282,0.58889,0.5439,0.53828,0.61646,0.59171,0.62542,0.59304
2529281397,0.59176,0.55511,0.6343,0.63888,0.59092,0.62103,0.62273,0.56482,0.64,0.66407,0.62563,0.63979
151035426,0.5921,0.57676,0.66948,0.67147,0.7219,0.64615,0.59843,0.56221,0.67749,0.69458,0.74905,0.64975
1094642261,0.55706,0.54625,0.62115,0.652,0.5556,0.55553,0.55815,0.5233,0.61107,0.65218,0.50143,0.56681
495104354,0.59326,0.57913,0.65711,0.66895,0.71722,0.67253,0.59326,0.58067,0.66202,0.66292,0.70811,0.66334
886281217,0.59537,0.55294,0.67025,0.6742,0.69394,0.62773,0.60293,0.55444,0.67201,0.68664,0.69197,0.64129
1186286400,0.56339,0.57488,0.65634,0.62574,0.66587,0.62215,0.57549,0.56917,0.65147,0.65068,0.68819,0.62079
64650339,0.57676,0.55505,0.63868,0.67754,0.72342,0.61775,0.57018,0.5486,0.63716,0.65668,0.70223,0.61177
1756317320,0.5683,0.5497,0.6262,0.63758,0.69423,0.60893,0.56197,0.53845,0.63046,0.64494,0.65352,0.6063
1557931441,0.63227,0.57852,0.69683,0.69899,0.7657,0.64714,0.62607,0.57258,0.68777,0.7241,0.76696,0.64741
2935809726,0.5872,0.53658,0.62956,0.64419,0.68722,0.59685,0.58553,0.5534,0.63159,0.65499,0.68775,0.63063
1852674447,0.57682,0.54628,0.5909,0.64012,0.6335,0.5712,0.56655,0.53386,0.56523,0.62121,0.58518,0.51828
1385105483,0.61238,0.58555,0.66167,0.67134,0.7048,0.63493,0.61366,0.57149,0.65504,0.67383,0.6981,0.63631
3072223930,0.56328,0.56857,0.63856,0.64048,0.66126,0.60293,0.57169,0.56155,0.63563,0.64269,0.66891,0.61635
2034020724,0.58524,0.54059,0.61449,0.60733,0.65574,0.57735,0.5953,0.53932,0.61203,0.62876,0.68092,0.60435
1602234257,0.57749,0.55168,0.63358,0.6123,0.63861,0.60266,0.58071,0.54569,0.63364,0.63804,0.63477,0.61389
995687125,0.62306,0.5977,0.68358,0.67739,0.695,0.61645,0.62749,0.58434,0.66872,0.67549,0.67056,0.64037
4229389759,0.59488,0.5675,0.64778,0.65618,0.67559,0.65983,0.58282,0.56227,0.65499,0.64542,0.66539,0.65393
1886825078,0.54414,0.54041,0.63179,0.63462,0.66298,0.60009,0.551,0.54569,0.63078,0.63437,0.65532,0.62038
490151209,0.61929,0.56083,0.66398,0.68569,0.68471,0.61922,0.62383,0.55654,0.6662,0.68758,0.70554,0.64767
3091067187,0.5821,0.56385,0.63573,0.63202,0.7047,0.61827,0.59618,0.56094,0.6409,0.66224,0.70821,0.61715
1693438843,0.63314,0.57519,0.65512,0.6433,0.6648,0.60222,0.6276,0.55956,0.64918,0.66159,0.65439,0.61971
127877677,0.56589,0.5407,0.61457,0.64024,0.6759,0.60061,0.57035,0.54338,0.61648,0.63905,0.67141,0.6202
4021315118,0.59532,0.55842,0.65037,0.65922,0.68872,0.6343,0.61057,0.57041,0.65427,0.67725,0.67264,0.65442
3807569399,0.60039,0.55873,0.63237,0.6793,0.7219,0.60177,0.59214,0.55497,0.63019,0.65426,0.68829,0.63863
1764595898,0.5504,0.56218,0.64654,0.62497,0.64938,0.60095,0.54926,0.53813,0.64704,0.63574,0.64891,0.6022
567224934,0.56599,0.54452,0.63145,0.62161,0.65996,0.60894,0.57558,0.55065,0.61986,0.65408,0.65653,0.61805
3552268730,0.60052,0.58949,0.65793,0.68837,0.6811,0.64085,0.62821,0.5998,0.66604,0.722,0.7019,0.66042
423510458,0.54389,0.52512,0.59292,0.61718,0.61972,0.57074,0.55632,0.53421,0.59268,0.62435,0.59616,0.59335
3971741950,,,,,,,,,,,,
4209635710,0.58506,0.52603,0.6061,0.60016,0.6617,0.56715,0.56896,0.52243,0.61561,0.63238,0.66599,0.60075
3183721577,0.58165,0.55194,0.64391,0.63413,0.65719,0.61076,0.59073,0.55933,0.64075,0.6433,0.66382,0.62015
1798312651,0.58542,0.53839,0.62816,0.6563,0.73969,0.60637,0.58476,0.54503,0.63421,0.67301,0.7338,0.61607
2582662627,0.58976,0.55031,0.65522,0.649,0.69981,0.61688,0.59178,0.54884,0.64531,0.67892,0.66301,0.6408
789242708,0.5412,0.55014,0.6374,0.66109,0.66687,0.61103,0.53886,0.53781,0.64113,0.65752,0.65737,0.61579
737209773,0.64807,0.55369,0.6649,0.68408,0.82996,0.63467,0.62691,0.53652,0.67116,0.68743,0.79665,0.63743
2553165637,0.59059,0.5531,0.64027,0.66961,0.68362,0.60775,0.61239,0.55408,0.64952,0.71248,0.68654,0.62752
3454988663,0.59957,0.56952,0.64427,0.6573,0.69032,0.63983,0.60063,0.56675,0.64144,0.64952,0.69305,0.62144
4231086927,0.60276,0.55325,0.63417,0.63395,0.66324,0.63692,0.59606,0.55463,0.63413,0.64042,0.65699,0.63536
3860581481,0.57562,0.54455,0.64075,0.6629,0.72202,0.6178,0.60336,0.55863,0.64135,0.69518,0.73391,0.63667
959456866,0.58047,0.5543,0.59099,0.62915,0.71325,0.61301,0.55899,0.54093,0.58459,0.63716,0.64857,0.65467
354512339,0.61661,0.55528,0.65334,0.70823,0.75369,0.6316,0.62687,0.56242,0.66034,0.71278,0.75677,0.64904
3938050789,0.56216,0.54534,0.62123,0.62878,0.65536,0.60214,0.56692,0.55154,0.61612,0.63866,0.63853,0.64067
1137322737,0.62994,0.59624,0.6935,0.70007,0.73619,0.65758,0.63686,0.6014,0.67986,0.72611,0.72343,0.67172
1573185083,0.61457,0.55623,0.62242,0.66589,0.69324,0.63104,0.60929,0.56294,0.63615,0.66574,0.67117,0.64258
