"HBID","L_bankssts_thickavg","L_caudalanteriorcingulate_thickavg","L_caudalmiddlefrontal_thickavg","L_cuneus_thickavg","L_entorhinal_thickavg","L_fusiform_thickavg","L_inferiorparietal_thickavg","L_inferiortemporal_thickavg","L_isthmuscingulate_thickavg","L_lateraloccipital_thickavg","L_lateralorbitofrontal_thickavg","L_lingual_thickavg","L_medialorbitofrontal_thickavg","L_middletemporal_thickavg","L_parahippocampal_thickavg","L_paracentral_thickavg","L_parsopercularis_thickavg","L_parsorbitalis_thickavg","L_parstriangularis_thickavg","L_pericalcarine_thickavg","L_postcentral_thickavg","L_posteriorcingulate_thickavg","L_precentral_thickavg","L_precuneus_thickavg","L_rostralanteriorcingulate_thickavg","L_rostralmiddlefrontal_thickavg","L_superiorfrontal_thickavg","L_superiorparietal_thickavg","L_superiortemporal_thickavg","L_supramarginal_thickavg","L_frontalpole_thickavg","L_temporalpole_thickavg","L_transversetemporal_thickavg","L_insula_thickavg","R_bankssts_thickavg","R_caudalanteriorcingulate_thickavg","R_caudalmiddlefrontal_thickavg","R_cuneus_thickavg","R_entorhinal_thickavg","R_fusiform_thickavg","R_inferiorparietal_thickavg","R_inferiortemporal_thickavg","R_isthmuscingulate_thickavg","R_lateraloccipital_thickavg","R_lateralorbitofrontal_thickavg","R_lingual_thickavg","R_medialorbitofrontal_thickavg","R_middletemporal_thickavg","R_parahippocampal_thickavg","R_paracentral_thickavg","R_parsopercularis_thickavg","R_parsorbitalis_thickavg","R_parstriangularis_thickavg","R_pericalcarine_thickavg","R_postcentral_thickavg","R_posteriorcingulate_thickavg","R_precentral_thickavg","R_precuneus_thickavg","R_rostralanteriorcingulate_thickavg","R_rostralmiddlefrontal_thickavg","R_superiorfrontal_thickavg","R_superiorparietal_thickavg","R_superiortemporal_thickavg","R_supramarginal_thickavg","R_frontalpole_thickavg","R_temporalpole_thickavg","R_transversetemporal_thickavg","R_insula_thickavg","LThickness","RThickness","LSurfArea","RSurfArea","ICV"
3951779362,2.516,2.806,2.692,1.824,3.101,2.804,2.508,2.776,2.568,1.988,2.537,2.035,2.478,2.874,3.36,2.379,2.782,2.621,2.761,1.413,2.066,2.756,2.696,2.355,2.773,2.536,2.865,2.152,3.051,2.534,3.011,3.994,2.778,3.179,2.691,2.658,2.467,1.953,3.249,2.813,2.437,2.815,2.598,2.123,2.512,2.032,2.44,2.87,3.232,2.352,2.806,2.678,2.686,1.373,2.137,2.523,2.591,2.397,2.829,2.428,2.69,2.204,3.171,2.458,2.653,4.02,2.627,3.248,2.54023,2.51991,89680.7,89444.3,1533140
1445822964,2.769,2.653,2.832,1.736,3.154,2.798,2.484,2.546,2.393,2.023,2.551,2.017,2.555,2.841,2.416,2.273,2.582,2.213,2.484,1.479,2.098,2.605,2.387,2.26,3.451,2.419,2.876,2.224,2.567,2.604,3.18,3.464,2.21,3.044,2.493,2.79,2.765,1.492,3.509,2.725,2.567,2.882,2.259,2.133,2.612,2.021,2.888,3.001,2.505,2.435,2.689,3.02,2.324,1.719,2.511,2.331,2.099,2.322,3.119,2.429,2.947,2.105,2.615,2.574,3.026,4.223,2.263,2.881,2.48308,2.50659,77767,75855.9,1356820
2616503795,2.654,2.718,2.761,1.711,3.766,2.63,2.51,2.755,2.582,2.069,2.76,1.953,2.451,3.155,2.957,2.387,2.886,3.039,2.783,1.467,2.129,2.613,2.43,2.476,2.959,2.459,2.869,2.246,3.066,2.765,2.473,3.46,2.694,3.125,2.863,2.775,2.554,1.657,3.756,2.764,2.45,2.905,2.637,2.041,2.643,2.016,2.464,3.056,2.772,2.326,2.833,2.73,2.533,1.52,2.066,2.565,2.613,2.513,2.946,2.41,2.785,2.157,3.008,2.606,2.353,3.85,2.307,3.212,2.57251,2.53316,80599.6,81537.9,1529020
1497791373,2.328,2.656,2.712,1.854,2.772,2.811,2.286,2.789,2.41,2.033,2.528,2.063,2.451,2.873,2.114,2.247,2.787,2.936,2.603,1.619,2.2,2.503,2.69,2.309,2.942,2.442,2.777,2.081,2.921,2.552,2.684,3.49,2.943,3.084,2.761,2.418,2.646,1.905,3.36,2.848,2.515,2.786,2.239,2.228,2.601,1.973,2.536,3.132,2.307,2.362,2.524,2.709,2.588,1.562,2.076,2.493,2.625,2.314,2.958,2.334,2.767,2.161,2.942,2.573,2.607,3.496,2.765,3.09,2.48622,2.5069,99401.9,99597.1,1700210
809696316,2.481,2.612,2.662,1.878,4.047,2.679,2.454,2.956,2.29,2.068,2.533,2.235,2.342,2.899,2.844,2.253,2.645,2.732,2.593,1.684,1.969,2.308,2.566,2.389,2.955,2.439,2.915,2.292,2.763,2.683,2.972,3.671,2.446,2.863,2.753,2.611,2.566,1.87,3.951,2.603,2.651,2.853,2.33,2.121,2.638,2.234,2.451,3.063,2.742,2.371,2.865,2.856,2.525,1.78,2.008,2.392,2.496,2.48,2.965,2.344,2.808,2.318,2.81,2.61,2.644,3.832,2.506,3.104,2.52159,2.54124,63945.6,63749,1219400
2529281397,2.329,2.669,2.691,1.807,4.01,2.697,2.345,2.73,2.256,2.073,2.893,2.142,2.914,2.919,3.215,2.269,2.96,2.972,2.513,1.527,1.988,2.322,2.474,2.404,3.165,2.569,3.006,2.239,3.022,2.536,3.545,3.582,2.336,2.963,2.791,2.768,2.701,2.017,3.774,2.891,2.281,2.715,2.021,1.983,2.596,2.172,2.77,2.822,3.147,2.374,2.92,2.794,2.631,1.516,1.979,2.516,2.417,2.252,3.19,2.557,2.928,2.073,3.017,2.542,2.89,3.705,2.671,3.38,2.55384,2.52868,82364.8,82703.4,1429380
151035426,2.486,2.966,2.628,1.739,3.134,2.465,2.314,2.722,2.406,1.985,2.612,1.939,2.714,2.865,2.459,2.368,2.628,2.84,2.353,1.582,1.976,2.508,2.547,2.258,3.06,2.513,2.862,2.077,2.702,2.472,2.734,3.936,2.371,3.017,2.322,2.797,2.692,1.726,3.645,2.586,2.4,2.549,2.279,1.903,2.673,1.826,2.761,2.577,2.449,2.355,2.672,2.681,2.512,1.491,1.887,2.559,2.517,2.346,3.255,2.451,2.858,2.087,2.585,2.553,2.191,3.791,2.434,2.985,2.45051,2.42221,64169.3,65671.2,902252
1094642261,2.673,2.601,2.746,1.698,3.027,2.695,2.524,2.786,2.321,1.995,2.736,2.113,2.51,3.231,2.78,2.408,2.783,2.933,2.714,1.502,2.019,2.491,2.63,2.37,3.212,2.569,2.959,2.188,3.036,2.612,2.492,3.234,2.543,3.028,2.655,2.335,2.661,1.766,2.915,2.66,2.562,2.705,2.139,2.112,2.565,2.116,2.507,3.133,2.641,2.563,2.756,2.814,2.546,1.652,2.023,2.519,2.724,2.369,3.239,2.492,2.902,2.247,3.04,2.689,2.205,3.983,2.617,3.226,2.56758,2.55707,103973,104921,1770510
495104354,2.589,2.478,2.431,1.773,3.113,2.536,2.342,2.675,2.336,2.123,2.426,1.893,2.491,2.854,2.676,2.367,2.768,2.89,2.469,1.537,1.972,2.432,2.572,2.455,2.742,2.557,2.818,2.3,2.809,2.517,2.68,3.112,2.491,3.088,2.706,2.402,2.296,1.882,2.516,2.537,2.485,2.696,2.205,2.133,2.469,1.904,2.199,2.898,2.694,2.466,2.845,2.833,2.292,1.496,1.933,2.451,2.493,2.513,2.805,2.41,2.679,2.17,2.838,2.523,2.614,3.461,2.41,2.967,2.47895,2.4512,76074.4,77376.7,942660
886281217,2.673,2.624,2.757,1.926,3.775,2.662,2.257,2.803,2.488,2.129,2.837,2.001,2.68,3.16,3.196,2.425,2.486,2.66,2.475,1.71,2.023,2.411,2.595,2.412,2.991,2.416,2.798,2.156,2.888,2.617,2.284,4.063,2.495,3.139,2.488,2.538,2.624,1.936,3.974,2.654,2.31,2.843,2.367,2.206,2.648,2.19,2.685,2.983,3.138,2.439,2.659,2.782,2.583,1.716,2.02,2.455,2.595,2.27,3.135,2.354,2.832,2.175,3.013,2.442,2.463,4.054,2.235,3.027,2.5238,2.51595,83472.6,84233.7,1398830
