"HBID","X","lh_bankssts_area","lh_caudalanteriorcingulate_area","lh_caudalmiddlefrontal_area","lh_cuneus_area","lh_entorhinal_area","lh_fusiform_area","lh_inferiorparietal_area","lh_inferiortemporal_area","lh_isthmuscingulate_area","lh_lateraloccipital_area","lh_lateralorbitofrontal_area","lh_lingual_area","lh_medialorbitofrontal_area","lh_middletemporal_area","lh_parahippocampal_area","lh_paracentral_area","lh_parsopercularis_area","lh_parsorbitalis_area","lh_parstriangularis_area","lh_pericalcarine_area","lh_postcentral_area","lh_posteriorcingulate_area","lh_precentral_area","lh_precuneus_area","lh_rostralanteriorcingulate_area","lh_rostralmiddlefrontal_area","lh_superiorfrontal_area","lh_superiorparietal_area","lh_superiortemporal_area","lh_supramarginal_area","lh_frontalpole_area","lh_temporalpole_area","lh_transversetemporal_area","lh_insula_area","lh_WhiteSurfArea_area","rh_bankssts_area","rh_caudalanteriorcingulate_area","rh_caudalmiddlefrontal_area","rh_cuneus_area","rh_entorhinal_area","rh_fusiform_area","rh_inferiorparietal_area","rh_inferiortemporal_area","rh_isthmuscingulate_area","rh_lateraloccipital_area","rh_lateralorbitofrontal_area","rh_lingual_area","rh_medialorbitofrontal_area","rh_middletemporal_area","rh_parahippocampal_area","rh_paracentral_area","rh_parsopercularis_area","rh_parsorbitalis_area","rh_parstriangularis_area","rh_pericalcarine_area","rh_postcentral_area","rh_posteriorcingulate_area","rh_precentral_area","rh_precuneus_area","rh_rostralanteriorcingulate_area","rh_rostralmiddlefrontal_area","rh_superiorfrontal_area","rh_superiorparietal_area","rh_superiortemporal_area","rh_supramarginal_area","rh_frontalpole_area","rh_temporalpole_area","rh_transversetemporal_area","rh_insula_area","rh_WhiteSurfArea_area"
3951779362,1,1407,732,2732,1547,461,3573,5085,3836,940,4862,2635,3323,1921,3218,638,1340,2132,641,1443,1446,4660,1264,4671,3959,727,6126,7057,5177,4052,4794,228,419,436,2202,89680.7,1183,1065,2274,1438,335,3295,5758,3794,835,4730,2959,2842,2082,4061,700,1337,1468,787,1810,1423,4033,1516,4853,4066,670,6002,6634,6013,3657,4774,299,379,314,2060,89444.3
1445822964,3,1163,448,2170,990,473,2911,5040,3355,945,3366,2508,3036,1592,3208,711,984,1962,503,1016,1176,3652,949,4233,3560,562,5039,6539,5382,3041,3999,224,464,366,2201,77767,985,582,2169,1342,368,2634,5151,2917,594,4155,2424,2546,1419,3197,663,2000,1226,656,1569,1350,3014,1004,5432,3172,417,5673,6750,3661,3102,2727,252,347,247,2110,75855.9
2616503795,5,1281,495,1934,1211,429,3227,5159,3273,860,4744,2502,2417,1709,3059,752,1163,1610,613,1408,1139,4182,951,5056,3558,788,5411,6755,4017,3782,3690,251,493,416,2263,80599.6,860,813,1620,1170,364,3523,5852,3751,627,4197,2767,2641,1862,3357,652,1533,1077,830,1546,1302,3810,1103,3899,3504,741,6373,5954,5333,3206,4108,221,447,311,2182,81537.9
1497791373,6,1610,1254,3671,1857,373,4133,6063,3881,1230,5270,2953,3488,2307,3610,750,1500,1502,673,1465,1610,4571,1616,5577,4492,1083,7183,7170,6326,4056,4453,248,414,432,2579,99401.9,1270,883,2703,2001,346,3880,6614,3642,1413,5080,2932,3697,2209,4037,847,1647,1750,775,1833,1828,4555,1309,5409,4487,711,7450,7913,5918,4244,4512,291,489,329,2594,99597.1
809696316,7,888,468,1449,1163,331,2916,3588,2630,731,3920,2175,2161,1402,2530,617,1084,1249,448,873,940,2896,808,3643,2620,654,4493,5302,4074,2714,2553,147,434,353,1689,63945.6,742,580,1605,960,276,2486,4271,2317,590,3810,2103,2257,1596,2632,618,1336,938,644,934,887,2893,968,3689,2825,461,4219,4936,4206,2708,2949,207,364,238,1506,63749
2529281397,11,958,522,2766,1348,306,2878,4115,3705,918,4860,2559,2770,1586,3274,648,1474,1780,617,1492,993,4137,1248,5140,2921,748,5478,6855,4978,3844,3634,196,474,386,2756,82364.8,1016,771,1871,1330,334,2624,4516,3591,938,3850,2666,2825,1770,3511,545,1788,1732,793,1864,1116,4079,1393,5133,3404,488,5624,6815,5258,3902,3801,295,399,329,2331,82703.4
151035426,12,758,445,1645,968,340,2140,3683,2518,672,3603,2212,2571,1323,2453,597,1189,1134,433,896,1027,3241,905,3794,2927,472,4357,5940,3792,2671,2824,135,397,325,1780,64169.3,815,511,1333,1014,253,2241,4203,2646,811,3524,2181,2399,1487,2833,580,1034,981,678,1000,1243,3056,835,3653,2946,376,4856,5666,4144,2892,2882,147,374,230,1846,65671.2
1094642261,13,1347,902,3081,1560,491,3885,5629,4885,1709,5458,3250,3208,1967,4236,711,1333,1910,724,1470,1318,4366,1385,5678,4994,1161,7754,8171,7246,4339,5199,237,468,558,3346,103973,1298,753,2788,1459,459,4151,6540,4448,1473,5388,3293,3432,1981,4427,818,1573,1886,1073,2018,1622,4808,1387,5381,5028,644,7666,8503,6998,4246,5177,371,309,389,3134,104921
495104354,14,862,598,1566,1037,283,2917,4645,2665,888,4848,3128,2602,1624,2750,645,1345,1334,597,1015,1083,3403,1269,4616,3354,643,5409,7115,3821,3583,3347,152,357,406,2164,76074.4,1034,738,1560,1150,330,3003,5233,3023,846,4068,2835,2603,1579,3017,678,1410,1129,790,1246,1111,3313,1183,4235,3711,454,5946,6926,4338,3360,3421,234,364,340,2168,77376.7
886281217,15,733,520,1753,1479,425,3159,4722,3976,994,4852,2736,2619,1797,2683,577,1139,1307,590,1248,1425,4081,1142,4830,3323,706,5425,7574,5465,3829,4867,231,415,461,2390,83472.6,918,572,1845,1381,417,3662,6011,3516,1022,4060,2698,2722,1778,2880,676,1144,1226,663,1691,1270,3795,1068,4449,3871,547,5834,7217,5598,3761,4250,263,487,336,2603,84233.7
1186286400,16,989,656,1896,1466,425,3242,4321,3916,840,4967,2386,3127,1629,3349,777,1243,1597,652,1182,1367,4356,980,4624,3365,707,5754,6301,4807,3468,3705,257,583,506,1852,81292.7,947,544,1812,1281,377,2881,4927,3800,868,4424,2109,3327,1732,3510,734,1482,947,750,1355,1540,3517,875,4093,3617,651,6282,7594,5223,3206,4170,318,407,266,1809,81376.3
64650339,18,787,410,1865,1304,446,3249,3774,3025,816,3751,2316,2843,1306,2753,538,1199,1360,546,1124,1585,3294,845,3981,3247,611,4489,6828,4752,3476,3485,181,521,409,1945,73064.9,957,732,1377,1328,399,2872,5016,2713,727,3241,2512,2855,1432,2910,495,1237,1314,644,1248,1606,2945,1101,3940,3151,837,5412,5715,5333,3402,3720,194,459,307,2125,74256.1
1756317320,21,1175,565,2280,1509,553,3402,5154,3651,1135,4795,2684,3315,1845,3717,820,1377,2209,609,1558,1421,4186,1128,4855,3601,797,6574,7394,5689,3729,3377,245,457,406,2649,88858,1145,812,2138,1533,415,3261,4969,3561,1012,5464,2609,3082,1936,3993,755,1845,1335,775,1252,1362,4048,1167,5064,3979,912,5860,7776,5243,3745,3834,341,386,271,2743,88623.4
1557931441,22,1053,439,2069,1150,335,2824,4214,3157,818,4205,2394,2936,1549,2666,611,1142,1472,595,949,1401,3590,979,4300,3215,721,4517,6396,4341,3413,3410,106,443,376,1960,73745.2,809,764,1447,1230,314,2716,5306,2757,705,4016,2424,2884,1485,3051,562,1400,1531,640,1356,1426,3458,979,4199,3135,674,4156,6043,4161,3171,2962,204,450,261,1928,72604.3
2935809726,23,1055,524,2587,1230,259,3212,4714,3473,984,4523,2776,2467,2029,3225,560,1348,1892,651,1283,1202,4315,1150,4618,3782,762,6003,6752,4711,3497,3687,195,468,411,2117,82462.6,955,673,2775,1141,264,2834,5659,3245,911,4321,2778,2767,1695,3454,504,1095,1521,753,1668,1198,3882,1069,4442,3792,668,5657,6748,5403,3231,3213,189,421,263,2566,81756.7
1852674447,24,1334,685,3497,1943,602,4419,6094,3619,1529,6588,3318,4642,2554,3705,891,1546,2050,679,1723,2009,5982,1717,6502,4724,958,8320,10020,6730,4833,4849,216,496,545,2791,112107,1186,1277,3270,2018,673,4494,7826,3345,1355,7542,3343,4825,2161,3620,1046,2047,2097,869,2250,2187,4575,2160,5740,4593,919,8560,8922,6553,4300,4132,318,457,515,3466,112642
1385105483,25,1057,577,1711,1292,356,3084,4883,3270,904,4239,2676,3195,1711,3299,639,1399,1515,638,1210,1329,3652,1013,4361,3456,657,5215,7136,5308,4329,3268,219,517,453,2314,80883.6,1047,654,1699,1512,310,3122,6191,2860,798,3983,2738,2975,1764,3766,683,1527,1276,747,1536,1461,3576,1176,4574,3384,531,5821,6277,4977,3652,3405,231,483,387,2244,81365.5
3072223930,28,1109,591,2473,1204,286,3040,4609,2891,970,4230,2437,3164,1685,2884,726,1416,1656,536,1462,1266,4436,1375,4625,3661,740,5591,6473,5092,3421,3479,215,417,418,2323,80899,955,742,2217,1360,313,3030,4953,3132,925,4105,2287,2600,1882,3201,628,1552,1186,772,1458,1155,3995,1413,4623,4086,566,5554,6097,5217,3621,4043,299,351,343,2330,80992.3
2034020724,29,1554,921,2297,1294,461,3815,5359,4171,884,4415,2693,2831,1642,3449,696,1419,1667,710,1275,1120,4134,1057,5472,3666,926,6103,7698,4947,4428,4568,177,439,549,2773,89609,994,660,2033,1494,500,3933,6841,3941,896,4079,2852,2871,2045,3635,760,1851,1788,779,1626,1399,4011,1243,5528,3890,755,6468,7303,5612,4124,3838,285,392,349,2244,91020.9
1602234257,31,1115,561,2246,1454,375,3010,4758,3647,1020,4678,2863,3023,2099,3169,578,1412,1928,724,1314,1349,4553,1186,4858,3246,532,4899,7340,4509,3621,4697,184,559,478,2142,84129.8,1046,767,1257,1343,259,3049,5316,3460,1065,3804,2937,2800,1715,3575,575,1302,1553,803,2008,1379,4427,1125,4928,3367,617,5642,6970,5102,3673,3221,239,372,346,2358,82396.6
995687125,33,1312,766,2612,1234,326,3401,4508,3245,863,4372,3047,2856,1603,3063,674,1373,1774,601,1252,1351,4158,1353,5150,4093,1099,6002,6777,5613,3898,3772,188,415,416,2547,85713.6,873,803,2211,1423,245,3158,5747,3695,952,4598,3061,2612,1681,3562,675,1682,1528,822,1525,1389,3914,1158,4975,4253,666,5877,6629,5381,3466,3064,315,444,308,2325,85016.8
4229389759,34,875,660,2095,1503,302,2826,3839,2313,765,3822,2676,2997,1843,2475,703,1301,2346,467,1216,1535,3768,1177,5181,3348,731,5327,5907,5390,3836,3232,167,332,552,2054,77558.3,732,520,1770,1515,295,2764,4420,2556,857,3988,2683,2931,1507,3045,650,1518,1323,682,1635,1465,3540,1027,4171,3475,418,6665,6088,5236,3583,3103,212,322,399,2332,77426.5
1886825078,35,868,675,2959,1424,489,3374,5258,3726,1061,4997,2950,3368,2033,3055,690,1243,1678,721,1265,1069,3987,1154,4616,3718,834,5827,7633,6068,3651,4182,186,517,592,2450,88313.4,1199,800,2259,1741,401,2988,4878,3787,1073,5235,2893,3151,1932,3931,686,1278,1760,877,1690,1495,4013,1134,4452,3872,662,5928,7048,5873,3326,4071,232,493,332,2645,88133.7
490151209,36,828,596,2513,1193,486,3447,4124,3232,896,4938,2811,3329,1863,2671,664,1292,1493,780,1058,1437,4069,1094,5152,4250,675,6622,7296,5689,4016,3734,240,493,521,1932,85436.8,920,664,2068,1385,360,3111,4341,3274,1131,4970,2664,3131,1552,3058,688,1388,1357,780,1656,1394,3338,1063,4911,4147,676,6547,6876,5060,4064,3819,327,448,420,2113,83701
3091067187,37,956,523,1830,1251,354,3014,4716,2913,910,3637,2278,2949,1545,2897,780,1055,1327,531,1022,1454,4309,1109,4547,3389,587,5113,5953,4933,3271,2811,216,367,394,1903,74843.9,957,578,1833,1209,368,2590,4982,2775,738,3498,2128,2628,1451,3294,666,1378,1189,627,1627,1497,3601,949,3963,3445,723,5405,6174,4886,3185,3108,331,325,308,1793,74212.6
1693438843,39,969,875,2028,1465,468,3143,4347,3516,1197,5003,2665,3074,1996,3029,582,1404,1625,586,1495,1572,4424,1371,4645,3914,1012,6057,7002,5068,3802,3879,161,501,429,2356,85659.1,968,638,2130,1541,477,3033,5532,3133,986,4504,2785,2666,1927,3261,645,1660,1460,777,1668,1697,4373,1182,4688,4230,627,5998,7320,4967,3528,3233,213,497,363,2318,85025.6
127877677,40,1159,640,2567,1393,377,3490,5179,3709,998,4884,2715,3431,1997,3409,712,1574,1749,595,1385,1287,4093,891,4453,4104,927,6788,7255,4998,3704,3642,216,486,383,2288,87478.2,1014,699,2314,1512,380,3140,5570,3452,1108,5141,2913,3356,1777,3475,549,1592,1817,786,1469,1369,4265,1278,4156,3887,647,5767,7210,5226,3728,3555,266,431,376,2366,86592
4021315118,41,805,705,1455,1488,591,2999,4482,2425,879,5054,2316,3071,1479,3126,682,1267,1508,555,1326,1370,3585,993,4835,3162,727,4933,6581,4924,3677,3203,179,445,440,2000,77266.3,961,683,1846,1417,290,3240,5082,2107,821,4030,2213,2836,1321,3323,676,1391,1210,630,1438,1447,3462,969,3804,3598,588,5380,6077,5108,3584,3179,259,338,289,1934,75534.6
